"","gene","Freq","sample"
"1","ENSG00000001461",10,"D5"
"2","ENSG00000002919",10,"D5"
"4","ENSG00000005075",10,"D5"
"5","ENSG00000006327",10,"D5"
"6","ENSG00000006712",10,"D5"
"7","ENSG00000006756",10,"D5"
"8","ENSG00000007255",10,"D5"
"9","ENSG00000007376",10,"D5"
"10","ENSG00000007384",10,"D5"
"11","ENSG00000008282",10,"D5"
"12","ENSG00000008394",10,"D5"
"13","ENSG00000009335",10,"D5"
"14","ENSG00000011114",10,"D5"
"15","ENSG00000011132",10,"D5"
"16","ENSG00000011295",10,"D5"
"17","ENSG00000011451",10,"D5"
"18","ENSG00000011454",10,"D5"
"19","ENSG00000011485",10,"D5"
"20","ENSG00000012124",10,"D5"
"21","ENSG00000012211",10,"D5"
"22","ENSG00000013573",10,"D5"
"23","ENSG00000015153",10,"D5"
"24","ENSG00000015479",10,"D5"
"27","ENSG00000023734",10,"D5"
"28","ENSG00000023902",10,"D5"
"29","ENSG00000023909",10,"D5"
"30","ENSG00000030419",10,"D5"
"31","ENSG00000031081",10,"D5"
"32","ENSG00000034693",10,"D5"
"35","ENSG00000046653",10,"D5"
"36","ENSG00000047621",10,"D5"
"37","ENSG00000049541",10,"D5"
"38","ENSG00000051180",10,"D5"
"39","ENSG00000052749",10,"D5"
"40","ENSG00000053501",10,"D5"
"41","ENSG00000053702",10,"D5"
"42","ENSG00000054179",10,"D5"
"43","ENSG00000054267",10,"D5"
"44","ENSG00000055957",10,"D5"
"45","ENSG00000057663",10,"D5"
"46","ENSG00000057935",10,"D5"
"47","ENSG00000058056",10,"D5"
"48","ENSG00000058262",10,"D5"
"49","ENSG00000058600",10,"D5"
"50","ENSG00000058866",10,"D5"
"51","ENSG00000062485",10,"D5"
"52","ENSG00000064309",10,"D5"
"53","ENSG00000065154",10,"D5"
"54","ENSG00000065357",10,"D5"
"55","ENSG00000065717",10,"D5"
"56","ENSG00000065923",10,"D5"
"57","ENSG00000066044",10,"D5"
"58","ENSG00000066117",10,"D5"
"60","ENSG00000066933",10,"D5"
"61","ENSG00000067057",10,"D5"
"62","ENSG00000067064",10,"D5"
"63","ENSG00000067334",10,"D5"
"64","ENSG00000067596",10,"D5"
"66","ENSG00000068024",10,"D5"
"67","ENSG00000068097",10,"D5"
"68","ENSG00000069275",10,"D5"
"69","ENSG00000069424",10,"D5"
"71","ENSG00000070061",10,"D5"
"72","ENSG00000070214",10,"D5"
"73","ENSG00000070371",10,"D5"
"74","ENSG00000070404",10,"D5"
"75","ENSG00000071282",10,"D5"
"76","ENSG00000071553",10,"D5"
"77","ENSG00000072195",10,"D5"
"78","ENSG00000072694",10,"D5"
"79","ENSG00000075073",10,"D5"
"80","ENSG00000075399",10,"D5"
"81","ENSG00000075407",10,"D5"
"82","ENSG00000075415",10,"D5"
"83","ENSG00000076248",10,"D5"
"84","ENSG00000076924",10,"D5"
"85","ENSG00000077380",10,"D5"
"86","ENSG00000078070",10,"D5"
"88","ENSG00000078369",10,"D5"
"89","ENSG00000078699",10,"D5"
"90","ENSG00000078804",10,"D5"
"91","ENSG00000079215",10,"D5"
"92","ENSG00000079616",10,"D5"
"93","ENSG00000079819",10,"D5"
"95","ENSG00000080603",10,"D5"
"96","ENSG00000080845",10,"D5"
"97","ENSG00000081019",10,"D5"
"98","ENSG00000081148",10,"D5"
"99","ENSG00000083857",10,"D5"
"100","ENSG00000085514",10,"D5"
"101","ENSG00000085840",10,"D5"
"102","ENSG00000086061",10,"D5"
