"","sample","unit","type"
"D5_U01_LE1","D5","U01","intra-unit"
"D6_U01_LE1","D6","U01","intra-unit"
"F7_U01_LE1","F7","U01","intra-unit"
"M8_U01_LE1","M8","U01","intra-unit"
"D5_U01_LE2","D5","U01","intra-unit"
"D6_U01_LE2","D6","U01","intra-unit"
"F7_U01_LE2","F7","U01","intra-unit"
"M8_U01_LE2","M8","U01","intra-unit"
"D5_U01_LE3","D5","U01","intra-unit"
"D6_U01_LE3","D6","U01","intra-unit"
"F7_U01_LE3","F7","U01","intra-unit"
"M8_U01_LE3","M8","U01","intra-unit"
"D5_U02_LE4","D5","U02","between-unit"
"D6_U02_LE4","D6","U02","between-unit"
"F7_U02_LE4","F7","U02","between-unit"
"M8_U02_LE4","M8","U02","between-unit"
"D5_U03_LE5","D5","U03","between-unit"
"D6_U03_LE5","D6","U03","between-unit"
"F7_U03_LE5","F7","U03","between-unit"
"M8_U03_LE5","M8","U03","between-unit"
"D5_U04_LE6","D5","U04","between-unit"
"D6_U04_LE6","D6","U04","between-unit"
"F7_U04_LE6","F7","U04","between-unit"
"M8_U04_LE6","M8","U04","between-unit"
"D5_U05_LE7","D5","U05","between-unit"
"D6_U05_LE7","D6","U05","between-unit"
"F7_U05_LE7","F7","U05","between-unit"
"M8_U05_LE7","M8","U05","between-unit"
"D5_U06_LE8","D5","U06","between-unit"
"D6_U06_LE8","D6","U06","between-unit"
"F7_U06_LE8","F7","U06","between-unit"
"M8_U06_LE8","M8","U06","between-unit"
"D5_U07_LE9","D5","U07","between-unit"
"D6_U07_LE9","D6","U07","between-unit"
"F7_U07_LE9","F7","U07","between-unit"
"M8_U07_LE9","M8","U07","between-unit"
"D5_U08_LE10","D5","U08","between-unit"
"D6_U08_LE10","D6","U08","between-unit"
"F7_U08_LE10","F7","U08","between-unit"
"M8_U08_LE10","M8","U08","between-unit"
"D5_U09_LE11","D5","U09","between-unit"
"D6_U09_LE11","D6","U09","between-unit"
"F7_U09_LE11","F7","U09","between-unit"
"M8_U09_LE11","M8","U09","between-unit"
"D5_U10_LE12","D5","U10","between-unit"
"D6_U10_LE12","D6","U10","between-unit"
"F7_U10_LE12","F7","U10","between-unit"
"M8_U10_LE12","M8","U10","between-unit"
"D5_U11_LE13","D5","U11","between-unit"
"D6_U11_LE13","D6","U11","between-unit"
"M8_U11_LE13","M8","U11","between-unit"
"F7_U11_LE13","F7","U11","between-unit"
"D5_U12_LE14","D5","U12","between-unit"
"D6_U12_LE14","D6","U12","between-unit"
"F7_U12_LE14","F7","U12","between-unit"
"M8_U12_LE14","M8","U12","between-unit"
"D5_U13_LE15","D5","U13","between-unit"
"D6_U13_LE15","D6","U13","between-unit"
"F7_U13_LE15","F7","U13","between-unit"
"M8_U13_LE15","M8","U13","between-unit"
"D5_U14_LE16","D5","U14","between-unit"
"D6_U14_LE16","D6","U14","between-unit"
"M8_U14_LE16","M8","U14","between-unit"
"F7_U14_LE16","F7","U14","between-unit"
"D5_U15_LE16","D5","U15","between-unit"
"D6_U15_LE16","D6","U15","between-unit"
"M8_U15_LE16","M8","U15","between-unit"
"F7_U15_LE16","F7","U15","between-unit"
"D5_U16_LE16","D5","U16","between-unit"
"D6_U16_LE16","D6","U16","between-unit"
"F7_U16_LE16","F7","U16","between-unit"
"M8_U16_LE16","M8","U16","between-unit"
