"","library","sample","protocol","platform","lab","batch","rep","sample_rep"
"1","P_BGI_L3_B1_D5_1","D5","P","BGI","L3","P_BGI_L3_B1",1,"D5_1"
"2","P_BGI_L3_B1_D5_2","D5","P","BGI","L3","P_BGI_L3_B1",2,"D5_2"
"3","P_BGI_L3_B1_D5_3","D5","P","BGI","L3","P_BGI_L3_B1",3,"D5_3"
"4","P_BGI_L3_B1_D6_1","D6","P","BGI","L3","P_BGI_L3_B1",1,"D6_1"
"5","P_BGI_L3_B1_D6_2","D6","P","BGI","L3","P_BGI_L3_B1",2,"D6_2"
"6","P_BGI_L3_B1_D6_3","D6","P","BGI","L3","P_BGI_L3_B1",3,"D6_3"
"7","P_BGI_L3_B1_F7_1","F7","P","BGI","L3","P_BGI_L3_B1",1,"F7_1"
"8","P_BGI_L3_B1_F7_2","F7","P","BGI","L3","P_BGI_L3_B1",2,"F7_2"
"9","P_BGI_L3_B1_F7_3","F7","P","BGI","L3","P_BGI_L3_B1",3,"F7_3"
"10","P_BGI_L3_B1_M8_1","M8","P","BGI","L3","P_BGI_L3_B1",1,"M8_1"
"11","P_BGI_L3_B1_M8_2","M8","P","BGI","L3","P_BGI_L3_B1",2,"M8_2"
"12","P_BGI_L3_B1_M8_3","M8","P","BGI","L3","P_BGI_L3_B1",3,"M8_3"
"25","R_BGI_L3_B1_D5_1","D5","R","BGI","L3","R_BGI_L3_B1",1,"D5_1"
"26","R_BGI_L3_B1_D5_2","D5","R","BGI","L3","R_BGI_L3_B1",2,"D5_2"
"27","R_BGI_L3_B1_D5_3","D5","R","BGI","L3","R_BGI_L3_B1",3,"D5_3"
"28","R_BGI_L3_B1_D6_1","D6","R","BGI","L3","R_BGI_L3_B1",1,"D6_1"
"29","R_BGI_L3_B1_D6_2","D6","R","BGI","L3","R_BGI_L3_B1",2,"D6_2"
"30","R_BGI_L3_B1_D6_3","D6","R","BGI","L3","R_BGI_L3_B1",3,"D6_3"
"31","R_BGI_L3_B1_F7_1","F7","R","BGI","L3","R_BGI_L3_B1",1,"F7_1"
"32","R_BGI_L3_B1_F7_2","F7","R","BGI","L3","R_BGI_L3_B1",2,"F7_2"
"33","R_BGI_L3_B1_F7_3","F7","R","BGI","L3","R_BGI_L3_B1",3,"F7_3"
"34","R_BGI_L3_B1_M8_1","M8","R","BGI","L3","R_BGI_L3_B1",1,"M8_1"
"35","R_BGI_L3_B1_M8_2","M8","R","BGI","L3","R_BGI_L3_B1",2,"M8_2"
"36","R_BGI_L3_B1_M8_3","M8","R","BGI","L3","R_BGI_L3_B1",3,"M8_3"
"37","R_BGI_L6_B1_D5_1","D5","R","BGI","L6","R_BGI_L6_B1",1,"D5_1"
"38","R_BGI_L6_B1_D5_2","D5","R","BGI","L6","R_BGI_L6_B1",2,"D5_2"
"39","R_BGI_L6_B1_D5_3","D5","R","BGI","L6","R_BGI_L6_B1",3,"D5_3"
"40","R_BGI_L6_B1_D6_1","D6","R","BGI","L6","R_BGI_L6_B1",1,"D6_1"
"41","R_BGI_L6_B1_D6_2","D6","R","BGI","L6","R_BGI_L6_B1",2,"D6_2"
"42","R_BGI_L6_B1_D6_3","D6","R","BGI","L6","R_BGI_L6_B1",3,"D6_3"
"43","R_BGI_L6_B1_F7_1","F7","R","BGI","L6","R_BGI_L6_B1",1,"F7_1"
"44","R_BGI_L6_B1_F7_2","F7","R","BGI","L6","R_BGI_L6_B1",2,"F7_2"
"45","R_BGI_L6_B1_F7_3","F7","R","BGI","L6","R_BGI_L6_B1",3,"F7_3"
"46","R_BGI_L6_B1_M8_1","M8","R","BGI","L6","R_BGI_L6_B1",1,"M8_1"
"47","R_BGI_L6_B1_M8_2","M8","R","BGI","L6","R_BGI_L6_B1",2,"M8_2"
"48","R_BGI_L6_B1_M8_3","M8","R","BGI","L6","R_BGI_L6_B1",3,"M8_3"
"49","R_BGI_L7_B1_D5_1","D5","R","BGI","L7","R_BGI_L7_B1",1,"D5_1"
"50","R_BGI_L7_B1_D5_2","D5","R","BGI","L7","R_BGI_L7_B1",2,"D5_2"
"51","R_BGI_L7_B1_D5_3","D5","R","BGI","L7","R_BGI_L7_B1",3,"D5_3"
"52","R_BGI_L7_B1_D6_1","D6","R","BGI","L7","R_BGI_L7_B1",1,"D6_1"
"53","R_BGI_L7_B1_D6_2","D6","R","BGI","L7","R_BGI_L7_B1",2,"D6_2"
"54","R_BGI_L7_B1_D6_3","D6","R","BGI","L7","R_BGI_L7_B1",3,"D6_3"
"55","R_BGI_L7_B1_F7_1","F7","R","BGI","L7","R_BGI_L7_B1",1,"F7_1"
"56","R_BGI_L7_B1_F7_2","F7","R","BGI","L7","R_BGI_L7_B1",2,"F7_2"
"57","R_BGI_L7_B1_F7_3","F7","R","BGI","L7","R_BGI_L7_B1",3,"F7_3"
"58","R_BGI_L7_B1_M8_1","M8","R","BGI","L7","R_BGI_L7_B1",1,"M8_1"
"59","R_BGI_L7_B1_M8_2","M8","R","BGI","L7","R_BGI_L7_B1",2,"M8_2"
"60","R_BGI_L7_B1_M8_3","M8","R","BGI","L7","R_BGI_L7_B1",3,"M8_3"
"61","P_ILM_L1_B1_D5_1","D5","P","ILM","L1","P_ILM_L1_B1",1,"D5_1"
"62","P_ILM_L1_B1_D5_2","D5","P","ILM","L1","P_ILM_L1_B1",2,"D5_2"
"63","P_ILM_L1_B1_D5_3","D5","P","ILM","L1","P_ILM_L1_B1",3,"D5_3"
"64","P_ILM_L1_B1_D6_1","D6","P","ILM","L1","P_ILM_L1_B1",1,"D6_1"
"65","P_ILM_L1_B1_D6_2","D6","P","ILM","L1","P_ILM_L1_B1",2,"D6_2"
"66","P_ILM_L1_B1_D6_3","D6","P","ILM","L1","P_ILM_L1_B1",3,"D6_3"
"67","P_ILM_L1_B1_F7_1","F7","P","ILM","L1","P_ILM_L1_B1",1,"F7_1"
"68","P_ILM_L1_B1_F7_2","F7","P","ILM","L1","P_ILM_L1_B1",2,"F7_2"
"69","P_ILM_L1_B1_F7_3","F7","P","ILM","L1","P_ILM_L1_B1",3,"F7_3"
"70","P_ILM_L1_B1_M8_1","M8","P","ILM","L1","P_ILM_L1_B1",1,"M8_1"
"71","P_ILM_L1_B1_M8_2","M8","P","ILM","L1","P_ILM_L1_B1",2,"M8_2"
"72","P_ILM_L1_B1_M8_3","M8","P","ILM","L1","P_ILM_L1_B1",3,"M8_3"
"97","P_ILM_L6_B1_D5_1","D5","P","ILM","L6","P_ILM_L6_B1",1,"D5_1"
"98","P_ILM_L6_B1_D5_2","D5","P","ILM","L6","P_ILM_L6_B1",2,"D5_2"
"99","P_ILM_L6_B1_D5_3","D5","P","ILM","L6","P_ILM_L6_B1",3,"D5_3"
"100","P_ILM_L6_B1_D6_1","D6","P","ILM","L6","P_ILM_L6_B1",1,"D6_1"
