"","Var1","Freq","gene","compare","gene_compare","fc","medianp","uchar","ubb","us","uc","U"
4,"ENSG00000002919 D5/D6",10,"ENSG00000002919","D5/D6","ENSG00000002919 D5/D6",0.574094586856444,1.37046706063046e-05,2.10968150250995,13.8813569746202,3.04463151948601,14.3670668053127,28.7341336106254
13,"ENSG00000006756 D5/D6",9,"ENSG00000006756","D5/D6","ENSG00000006756 D5/D6",1.35322974529562,0.000328469210630364,1.24854903316798,23.8704942440614,3.04463151948601,24.0962476587837,48.1924953175674
27,"ENSG00000008394 D5/D6",10,"ENSG00000008394","D5/D6","ENSG00000008394 D5/D6",0.300959982685867,1.64188401530034e-05,3.97466773100564,12.1982238116195,3.04463151948601,13.1857661445858,26.3715322891716
33,"ENSG00000011114 D5/D6",9,"ENSG00000011114","D5/D6","ENSG00000011114 D5/D6",0.811256348890497,0.000931686738415636,1.79615420294034,17.762230078129,3.04463151948601,18.1105706248748,36.2211412497496
35,"ENSG00000011132 D5/D6",8,"ENSG00000011132","D5/D6","ENSG00000011132 D5/D6",0.82999009505241,0.0115901338892643,1.41920582030325,15.2785951586037,3.04463151948601,15.6435097171427,31.2870194342854
38,"ENSG00000011295 D5/D6",5,"ENSG00000011295","D5/D6","ENSG00000011295 D5/D6",1.15379011092903,0.0536144443675785,3.53036255499326,35.6789543406501,3.04463151948601,35.9822320555763,71.9644641111526
46,"ENSG00000011485 D5/D6",5,"ENSG00000011485","D5/D6","ENSG00000011485 D5/D6",1.0889120382995,0.0502661638553658,0.487898200747717,23.0814349188917,3.04463151948601,23.2864867178107,46.5729734356214
49,"ENSG00000012124 D5/D6",10,"ENSG00000012124","D5/D6","ENSG00000012124 D5/D6",1.52063008921081,6.3115272735848e-07,1.08486375969235,213.886474909602,3.04463151948601,213.910894672811,427.821789345622
55,"ENSG00000013573 D5/D6",4,"ENSG00000013573","D5/D6","ENSG00000013573 D5/D6",1.14039011097281,0.0645353737585314,3.15071197166507,40.0098464506822,3.04463151948601,40.249032038361,80.498064076722
58,"ENSG00000015153 D5/D6",5,"ENSG00000015153","D5/D6","ENSG00000015153 D5/D6",0.889903275926499,0.207097905881691,1.94144524192164,11.1947024604958,3.04463151948601,11.7626678052157,23.5253356104314
67,"ENSG00000023909 D5/D6",5,"ENSG00000023909","D5/D6","ENSG00000023909 D5/D6",0.837705931604351,0.0406610235722664,2.28954182677135,15.5098170350875,3.04463151948601,15.9707923199782,31.9415846399564
68,"ENSG00000030419 D5/D6",7,"ENSG00000030419","D5/D6","ENSG00000030419 D5/D6",0.866718012725002,0.0255480023614263,2.65525369164879,182.61110088646,3.04463151948601,182.655780965786,365.311561931572
71,"ENSG00000031081 D5/D6",10,"ENSG00000031081","D5/D6","ENSG00000031081 D5/D6",0.539980993053824,1.08745098547323e-07,1.12854924414351,34.7483245797217,3.04463151948601,34.8997058094133,69.7994116188266
80,"ENSG00000047621 D5/D6",9,"ENSG00000047621","D5/D6","ENSG00000047621 D5/D6",0.812493067984215,0.00709104317178554,1.15553689222194,38.7176308049865,3.04463151948601,38.8543431516989,77.7086863033978
83,"ENSG00000051180 D5/D6",6,"ENSG00000051180","D5/D6","ENSG00000051180 D5/D6",1.34297581860626,0.0334810264481617,4.23795851240153,27.0014238577693,3.04463151948601,27.5010356857555,55.002071371511
85,"ENSG00000052749 D5/D6",10,"ENSG00000052749","D5/D6","ENSG00000052749 D5/D6",1.41322469314699,0.000101172483370303,1.0368569006002,49.7243005022414,3.04463151948601,49.8282140334066,99.6564280668132
92,"ENSG00000054179 D5/D6",10,"ENSG00000054179","D5/D6","ENSG00000054179 D5/D6",4.44574882808912,1.55660144578027e-06,2.91355837274003,26.9915162173525,3.04463151948601,27.318501993931,54.637003987862
97,"ENSG00000055957 D5/D6",7,"ENSG00000055957","D5/D6","ENSG00000055957 D5/D6",0.384735073941727,0.00848825672423035,10.8256275274779,2.61161625099089,3.04463151948601,11.5448920261549,23.0897840523098
103,"ENSG00000057935 D5/D6",4,"ENSG00000057935","D5/D6","ENSG00000057935 D5/D6",0.872952891721736,0.151041232764884,3.22845724506869,15.866596533105,3.04463151948601,16.475484903851,32.950969807702
106,"ENSG00000058056 D5/D6",10,"ENSG00000058056","D5/D6","ENSG00000058056 D5/D6",1.40007665750448,0.000116829563850817,1.8360449592481,19.4275931737995,3.04463151948601,19.7502460417203,39.5004920834406
111,"ENSG00000058600 D5/D6",10,"ENSG00000058600","D5/D6","ENSG00000058600 D5/D6",1.46045918622516,1.28875229647202e-05,1.46025330121522,28.6033519560985,3.04463151948601,28.8019767362867,57.6039534725734
114,"ENSG00000058866 D5/D6",10,"ENSG00000058866","D5/D6","ENSG00000058866 D5/D6",0.130910974670688,9.94629796313341e-08,3.33615107196919,3.02057505478219,3.04463151948601,5.43355856930072,10.8671171386014
123,"ENSG00000065154 D5/D6",10,"ENSG00000065154","D5/D6","ENSG00000065154 D5/D6",1.84913585878055,1.79332512517157e-05,1.86842859811078,33.0181381834159,3.04463151948601,33.2108153410125,66.421630682025
