"gene","compare","gene_compare","ubb"
"ENSG00000001461","F7/D6","ENSG00000001461 F7/D6",16.9811758203952
"ENSG00000001461","M8/D6","ENSG00000001461 M8/D6",7.55690676711648
"ENSG00000002919","D5/D6","ENSG00000002919 D5/D6",13.8813569746202
"ENSG00000002919","M8/D6","ENSG00000002919 M8/D6",63.5307696847733
"ENSG00000006327","M8/D6","ENSG00000006327 M8/D6",6.5548779321178
"ENSG00000006756","D5/D6","ENSG00000006756 D5/D6",23.8704942440614
"ENSG00000006756","M8/D6","ENSG00000006756 M8/D6",12.7187111485663
"ENSG00000007384","M8/D6","ENSG00000007384 M8/D6",1.20096428218143
"ENSG00000008282","M8/D6","ENSG00000008282 M8/D6",90.3493321544022
"ENSG00000008394","D5/D6","ENSG00000008394 D5/D6",12.1982238116195
"ENSG00000008394","F7/D6","ENSG00000008394 F7/D6",25.6278157632608
"ENSG00000009335","F7/D6","ENSG00000009335 F7/D6",45.9911884693968
"ENSG00000011114","D5/D6","ENSG00000011114 D5/D6",17.762230078129
"ENSG00000011114","F7/D6","ENSG00000011114 F7/D6",23.2726047966849
"ENSG00000011132","D5/D6","ENSG00000011132 D5/D6",15.2785951586037
"ENSG00000011132","M8/D6","ENSG00000011132 M8/D6",31.6161804934985
"ENSG00000011295","D5/D6","ENSG00000011295 D5/D6",35.6789543406501
"ENSG00000011454","M8/D6","ENSG00000011454 M8/D6",48.0538846190223
"ENSG00000011485","D5/D6","ENSG00000011485 D5/D6",23.0814349188917
"ENSG00000011485","F7/D6","ENSG00000011485 F7/D6",9.98875634688048
"ENSG00000011485","M8/D6","ENSG00000011485 M8/D6",41.9469465899648
"ENSG00000012124","D5/D6","ENSG00000012124 D5/D6",213.886474909602
"ENSG00000012124","F7/D6","ENSG00000012124 F7/D6",187.057059900781
"ENSG00000012124","M8/D6","ENSG00000012124 M8/D6",171.564545983067
"ENSG00000012211","M8/D6","ENSG00000012211 M8/D6",49.399358908713
"ENSG00000013573","D5/D6","ENSG00000013573 D5/D6",40.0098464506822
"ENSG00000013573","F7/D6","ENSG00000013573 F7/D6",45.386013584835
"ENSG00000013573","M8/D6","ENSG00000013573 M8/D6",6.84800057817703
"ENSG00000015153","D5/D6","ENSG00000015153 D5/D6",11.1947024604958
"ENSG00000023734","M8/D6","ENSG00000023734 M8/D6",103.955516590735
"ENSG00000023909","D5/D6","ENSG00000023909 D5/D6",15.5098170350875
"ENSG00000030419","D5/D6","ENSG00000030419 D5/D6",182.61110088646
"ENSG00000031081","D5/D6","ENSG00000031081 D5/D6",34.7483245797217
"ENSG00000031081","F7/D6","ENSG00000031081 F7/D6",37.2921435658545
"ENSG00000031081","M8/D6","ENSG00000031081 M8/D6",18.252326983438
"ENSG00000034693","F7/D6","ENSG00000034693 F7/D6",29.0872231659387
"ENSG00000047621","D5/D6","ENSG00000047621 D5/D6",38.7176308049865
"ENSG00000051180","D5/D6","ENSG00000051180 D5/D6",27.0014238577693
