"sample","gene","anova_p","mean_between","mean_intra","fdr"
"D5","ENSG00000239951",0.8559,0.6538,0.7231,0.9948
"D5","ENSG00000211638",0.6123,3.258,3.19,0.9775
"D5","ENSG00000253333",0.6967,-3.9763,-4.7346,0.9798
"D5","ENSG00000230658",0.7741,-2.1273,-1.966,0.9911
"D5","ENSG00000237525",0.854,-5.8866,-5.7466,0.9948
"D5","ENSG00000183476",0.2767,-5.1016,-4.1303,0.92
"D5","ENSG00000141858",0.5299,4.7986,4.8466,0.9562
"D5","ENSG00000101230",0.0101,-4.2452,-6.6439,0.6938
"D5","ENSG00000157837",0.0334,3.2127,3.3262,0.8136
"D5","ENSG00000146066",0.51,5.6376,5.5773,0.9562
"D5","ENSG00000142512",0.0056,1.5262,1.2851,0.6538
"D5","ENSG00000183604",0.9795,2.9773,2.9794,0.9976
"D5","ENSG00000111266",0.0424,4.6408,4.5526,0.8606
"D5","ENSG00000226747",0.598,-5.0345,-5.6049,0.9775
"D5","ENSG00000178522",0.9976,-6.1449,-6.1471,0.9986
"D5","ENSG00000264456",0.8458,0.6035,0.5669,0.9948
"D5","ENSG00000165475",0.0248,1.1178,1.2979,0.7514
"D5","ENSG00000128512",0.321,-0.0478,-0.1713,0.9223
"D5","ENSG00000204619",0.2739,3.8002,3.7098,0.92
"D5","ENSG00000248019",0.7441,-1.4828,-1.6537,0.9855
"D5","ENSG00000232573",0.6704,2.5271,2.6375,0.9798
"D5","ENSG00000258388",0.2674,-0.5763,-0.3339,0.92
"D5","ENSG00000181616",0.5055,-0.7544,-0.9903,0.9562
"D5","ENSG00000167106",0.7114,4.8858,4.8029,0.9798
"D5","ENSG00000251568",0.7448,-2.2954,-2.6221,0.9855
"D5","ENSG00000135622",0.5627,-0.0039,0.0887,0.9691
"D5","ENSG00000140939",0.2138,1.4648,1.6679,0.92
"D5","ENSG00000109814",0.1109,3.1997,3.3323,0.92
"D5","ENSG00000111445",0.1448,1.8557,1.7363,0.92
"D5","ENSG00000263001",0.7414,3.6329,3.6493,0.9855
"D5","ENSG00000265218",0.4229,-0.3427,-0.0878,0.947
"D5","ENSG00000130684",0.1895,3.0325,2.81,0.92
"D5","ENSG00000214300",0.1749,2.2785,2.1488,0.92
"D5","ENSG00000100567",0.4237,3.942,4.0327,0.947
"D5","ENSG00000275467",0.2847,0.042,-0.554,0.92
"D5","ENSG00000160613",0.5584,2.7926,2.7665,0.966
"D5","ENSG00000183308",0.5805,-0.7273,-0.908,0.9722
"D5","ENSG00000277621",0.9759,-2.4451,-2.4945,0.9976
"D5","ENSG00000211452",0.0485,-0.8377,-0.2792,0.8729
"D5","ENSG00000278419",0.9989,-5.0709,-5.0733,0.9989
"D5","ENSG00000221944",0.3823,0.6415,-1.1971,0.9234
"D5","ENSG00000183298",0.0122,-1.2207,-0.2797,0.6971
"D5","ENSG00000227541",0.1797,-1.3721,-0.5321,0.92
"D5","ENSG00000260317",0.9792,-1.5931,-1.5836,0.9976
"D5","ENSG00000260698",0.886,-1.2688,-1.2332,0.9948
"D5","ENSG00000264071",0.6017,-1.5765,-0.993,0.9775
"D5","ENSG00000261799",0.8082,2.3944,2.3739,0.9948
"D5","ENSG00000046653",0.7808,0.0431,-0.0194,0.9915
"D5","ENSG00000108582",0.0996,2.368,2.5809,0.9104
"D5","ENSG00000237991",0.8095,-2.8081,-2.4984,0.9948
"D5","ENSG00000070404",0.8443,-0.3135,-0.2639,0.9948
"D5","ENSG00000183337",0.2106,2.7545,2.6087,0.92
"D5","ENSG00000275379",0.5332,5.8381,5.9334,0.9562
"D5","ENSG00000103343",0.2517,1.8563,1.7749,0.92
"D5","ENSG00000100319",0.7681,1.1739,1.222,0.9911
"D5","ENSG00000204186",0.9931,1.9511,1.9521,0.9976
"D5","ENSG00000067334",0.7101,1.6006,1.7383,0.9798
"D5","ENSG00000112305",0.9872,2.1863,2.188,0.9976
"D5","ENSG00000269066",0.8787,-0.1777,-0.1249,0.9948
"D5","ENSG00000008282",0.1366,3.1908,3.4292,0.92
"D5","ENSG00000111832",0.7106,1.7511,1.7063,0.9798
"D5","ENSG00000155307",0.7233,3.9195,3.8945,0.9848
"D5","ENSG00000244730",0.4863,1.146,0.8716,0.9562
"D5","ENSG00000231969",0.5309,-0.6372,-0.3199,0.9562
"D5","ENSG00000114948",0.1273,-3.8845,-5.0023,0.92
"D5","ENSG00000143486",0.8236,3.7093,3.6977,0.9948
"D5","ENSG00000259088",0.6847,2.2337,2.3118,0.9798
"D5","ENSG00000130449",0.543,1.026,1.1143,0.9577
"D5","ENSG00000283683",0.2321,-3.2756,-4.3149,0.92
"D5","ENSG00000124789",0.4838,4.8827,4.8327,0.9562
"D5","ENSG00000274290",0.6618,3.8323,3.8738,0.9786
"D5","ENSG00000176209",0.488,1.8636,1.7785,0.9562
"D5","ENSG00000123094",0.1139,-5.8257,-4.9231,0.92
"D5","ENSG00000279434",0.388,-0.326,-0.0779,0.9267
"D5","ENSG00000267375",0.4678,-1.7126,-0.5241,0.9547
"D5","ENSG00000259999",0.8279,-0.9022,-1.0364,0.9948
"D5","ENSG00000198911",0.9763,5.6445,5.6432,0.9976
"D5","ENSG00000228923",0.9397,-4.9002,-4.7815,0.9969
"D5","ENSG00000133773",0.5286,2.6647,2.7578,0.9562
"D5","ENSG00000272109",0.2166,-0.3376,0.2091,0.92
"D5","ENSG00000151503",0.2278,2.1045,2.1715,0.92
"D5","ENSG00000231527",0.9381,0.2627,0.2471,0.9969
"D5","ENSG00000156970",0.1281,1.1067,0.9397,0.92
"D5","ENSG00000273045",0.1277,-2.857,-1.7379,0.92
"D5","ENSG00000254726",0.5154,-1.4843,-1.6826,0.9562
"D5","ENSG00000226981",0.1637,-5.3064,-3.3363,0.92
