"gene_compare","log2fc_p","gene","compare"
"ENSG00000239951 D5/D6",0.105346325913733,"ENSG00000239951","D5/D6"
"ENSG00000268643 D5/D6",0.0582971131778561,"ENSG00000268643","D5/D6"
"ENSG00000114948 D5/D6",0.685835817945158,"ENSG00000114948","D5/D6"
"ENSG00000258529 D5/D6",0.597596021186652,"ENSG00000258529","D5/D6"
"ENSG00000211964 D5/D6",0.243402936221153,"ENSG00000211964","D5/D6"
"ENSG00000110077 D5/D6",0.180119549513241,"ENSG00000110077","D5/D6"
"ENSG00000272320 D5/D6",0.0149625664170626,"ENSG00000272320","D5/D6"
"ENSG00000110375 D5/D6",0.716541638629046,"ENSG00000110375","D5/D6"
"ENSG00000276775 D5/D6",0.696807520155825,"ENSG00000276775","D5/D6"
"ENSG00000122121 D5/D6",0.907119650403957,"ENSG00000122121","D5/D6"
"ENSG00000137491 D5/D6",0.573555669332317,"ENSG00000137491","D5/D6"
"ENSG00000283515 D5/D6",0.592965060854583,"ENSG00000283515","D5/D6"
"ENSG00000225285 D5/D6",0.834517912946573,"ENSG00000225285","D5/D6"
"ENSG00000106341 D5/D6",0.643566930224827,"ENSG00000106341","D5/D6"
"ENSG00000189316 D5/D6",0.9617225422392,"ENSG00000189316","D5/D6"
"ENSG00000270038 D5/D6",0.787841901602068,"ENSG00000270038","D5/D6"
"ENSG00000285417 D5/D6",0.881166266303681,"ENSG00000285417","D5/D6"
"ENSG00000274267 D5/D6",0.00273352686582283,"ENSG00000274267","D5/D6"
"ENSG00000273982 D5/D6",0.336063289423044,"ENSG00000273982","D5/D6"
"ENSG00000214745 D5/D6",0.00272564817147783,"ENSG00000214745","D5/D6"
"ENSG00000178789 D5/D6",0.0739018832777507,"ENSG00000178789","D5/D6"
"ENSG00000179314 D5/D6",0.628021159205713,"ENSG00000179314","D5/D6"
"ENSG00000103569 D5/D6",0.351444290925635,"ENSG00000103569","D5/D6"
"ENSG00000204624 D5/D6",0.579722004946754,"ENSG00000204624","D5/D6"
"ENSG00000058866 D5/D6",0.488953795328296,"ENSG00000058866","D5/D6"
"ENSG00000178522 D5/D6",0.162331527007326,"ENSG00000178522","D5/D6"
"ENSG00000259467 D5/D6",0.261941251238636,"ENSG00000259467","D5/D6"
"ENSG00000251230 D5/D6",0.304262636530044,"ENSG00000251230","D5/D6"
"ENSG00000131721 D5/D6",0.0152861938986104,"ENSG00000131721","D5/D6"
"ENSG00000105642 D5/D6",0.475231952726814,"ENSG00000105642","D5/D6"
"ENSG00000148677 D5/D6",0.104225122356468,"ENSG00000148677","D5/D6"
"ENSG00000105967 D5/D6",0.371361794938316,"ENSG00000105967","D5/D6"
"ENSG00000237770 D5/D6",0.74702916634398,"ENSG00000237770","D5/D6"
"ENSG00000165548 D5/D6",0.348448496503932,"ENSG00000165548","D5/D6"
"ENSG00000132321 D5/D6",0.360498513873213,"ENSG00000132321","D5/D6"
