"gene","compare","gene_compare","ubb"
"ENSG00000001461","F7/D6","ENSG00000001461 F7/D6",4.28415006833336
"ENSG00000001461","M8/D6","ENSG00000001461 M8/D6",1.90651831093151
"ENSG00000002919","D5/D6","ENSG00000002919 D5/D6",0.614118723703043
"ENSG00000002919","M8/D6","ENSG00000002919 M8/D6",2.81063553556166
"ENSG00000006327","M8/D6","ENSG00000006327 M8/D6",37.0986711446977
"ENSG00000006756","D5/D6","ENSG00000006756 D5/D6",10.4511399944112
"ENSG00000006756","M8/D6","ENSG00000006756 M8/D6",5.56859147544518
"ENSG00000007384","M8/D6","ENSG00000007384 M8/D6",4.42818503370501
"ENSG00000008282","M8/D6","ENSG00000008282 M8/D6",9.94075267554141
"ENSG00000008394","D5/D6","ENSG00000008394 D5/D6",11.8130866142152
"ENSG00000008394","F7/D6","ENSG00000008394 F7/D6",24.8186631119335
"ENSG00000009335","F7/D6","ENSG00000009335 F7/D6",5.13996392415312
"ENSG00000011114","D5/D6","ENSG00000011114 D5/D6",3.9011833857468
"ENSG00000011114","F7/D6","ENSG00000011114 F7/D6",5.11144708612183
"ENSG00000011132","D5/D6","ENSG00000011132 D5/D6",2.18506710556431
"ENSG00000011132","M8/D6","ENSG00000011132 M8/D6",4.52158560933041
"ENSG00000011295","D5/D6","ENSG00000011295 D5/D6",5.90745223354309
"ENSG00000011454","M8/D6","ENSG00000011454 M8/D6",5.66004550802746
"ENSG00000011485","D5/D6","ENSG00000011485 D5/D6",3.9837651107773
"ENSG00000011485","F7/D6","ENSG00000011485 F7/D6",1.7240201562247
"ENSG00000011485","M8/D6","ENSG00000011485 M8/D6",7.23987840946436
"ENSG00000012124","D5/D6","ENSG00000012124 D5/D6",4.77065081016985
"ENSG00000012124","F7/D6","ENSG00000012124 F7/D6",4.17223162306459
"ENSG00000012124","M8/D6","ENSG00000012124 M8/D6",3.82667740275052
"ENSG00000012211","M8/D6","ENSG00000012211 M8/D6",11.7645210489152
"ENSG00000013573","D5/D6","ENSG00000013573 D5/D6",10.9171932799214
"ENSG00000013573","F7/D6","ENSG00000013573 F7/D6",12.3841485650674
"ENSG00000013573","M8/D6","ENSG00000013573 M8/D6",1.86856367932144
"ENSG00000015153","D5/D6","ENSG00000015153 D5/D6",5.62144249982296
"ENSG00000023734","M8/D6","ENSG00000023734 M8/D6",3.05236439234112
"ENSG00000023909","D5/D6","ENSG00000023909 D5/D6",7.70758872548873
"ENSG00000030419","D5/D6","ENSG00000030419 D5/D6",11.1060859997449
"ENSG00000031081","D5/D6","ENSG00000031081 D5/D6",2.52157460597937
"ENSG00000031081","F7/D6","ENSG00000031081 F7/D6",2.70617140122699
"ENSG00000031081","M8/D6","ENSG00000031081 M8/D6",1.32451290179119
"ENSG00000034693","F7/D6","ENSG00000034693 F7/D6",4.65248366716501
"ENSG00000047621","D5/D6","ENSG00000047621 D5/D6",8.492673157957
"ENSG00000051180","D5/D6","ENSG00000051180 D5/D6",23.3598437831088
"ENSG00000051180","M8/D6","ENSG00000051180 M8/D6",26.0652517848386
"ENSG00000052749","D5/D6","ENSG00000052749 D5/D6",7.27808284557133
"ENSG00000052749","F7/D6","ENSG00000052749 F7/D6",5.38772893282117
"ENSG00000052749","M8/D6","ENSG00000052749 M8/D6",5.40210788033487
"ENSG00000053501","M8/D6","ENSG00000053501 M8/D6",8.09936359419483
"ENSG00000054179","D5/D6","ENSG00000054179 D5/D6",57.7900692967711
"ENSG00000054179","F7/D6","ENSG00000054179 F7/D6",34.1375328690846
"ENSG00000054179","M8/D6","ENSG00000054179 M8/D6",75.3607506215396
"ENSG00000054267","F7/D6","ENSG00000054267 F7/D6",11.0872894930377
"ENSG00000055957","D5/D6","ENSG00000055957 D5/D6",26.3492207066279
"ENSG00000055957","F7/D6","ENSG00000055957 F7/D6",82.2167362320696
"ENSG00000055957","M8/D6","ENSG00000055957 M8/D6",26.8533127423965
"ENSG00000057663","F7/D6","ENSG00000057663 F7/D6",3.48270762993271
"ENSG00000057663","M8/D6","ENSG00000057663 M8/D6",6.58358457282149
"ENSG00000057935","D5/D6","ENSG00000057935 D5/D6",5.0608334853457
"ENSG00000057935","F7/D6","ENSG00000057935 F7/D6",6.89036032711887
"ENSG00000058056","D5/D6","ENSG00000058056 D5/D6",7.83948257787397
"ENSG00000058056","F7/D6","ENSG00000058056 F7/D6",9.0121182962814
"ENSG00000058056","M8/D6","ENSG00000058056 M8/D6",4.23901899879679
"ENSG00000058262","M8/D6","ENSG00000058262 M8/D6",18.7875325051365
"ENSG00000058600","D5/D6","ENSG00000058600 D5/D6",5.2795193412312
"ENSG00000058600","F7/D6","ENSG00000058600 F7/D6",8.39534753541712
"ENSG00000058866","D5/D6","ENSG00000058866 D5/D6",3.01237848173422
"ENSG00000058866","F7/D6","ENSG00000058866 F7/D6",6.59402356922647
"ENSG00000058866","M8/D6","ENSG00000058866 M8/D6",4.78077796800443
"ENSG00000064309","F7/D6","ENSG00000064309 F7/D6",43.7076666037926
"ENSG00000065154","D5/D6","ENSG00000065154 D5/D6",13.7884840445821
"ENSG00000065154","F7/D6","ENSG00000065154 F7/D6",15.2513413598699
"ENSG00000065154","M8/D6","ENSG00000065154 M8/D6",16.3642536883256
"ENSG00000065357","M8/D6","ENSG00000065357 M8/D6",4.80718124671802
"ENSG00000065717","M8/D6","ENSG00000065717 M8/D6",16.9291411677744
"ENSG00000065923","D5/D6","ENSG00000065923 D5/D6",3.25884493395576
"ENSG00000065923","F7/D6","ENSG00000065923 F7/D6",0.691122246554695
"ENSG00000065923","M8/D6","ENSG00000065923 M8/D6",1.65710979754067
"ENSG00000066044","D5/D6","ENSG00000066044 D5/D6",3.51249233050641
"ENSG00000066044","M8/D6","ENSG00000066044 M8/D6",3.36808272404484
"ENSG00000066117","F7/D6","ENSG00000066117 F7/D6",1.68069339447972
"ENSG00000066933","D5/D6","ENSG00000066933 D5/D6",3.46917979281991
"ENSG00000067057","D5/D6","ENSG00000067057 D5/D6",3.07659617388059
"ENSG00000067057","F7/D6","ENSG00000067057 F7/D6",1.8319270867359
"ENSG00000067057","M8/D6","ENSG00000067057 M8/D6",3.30000553631794
"ENSG00000067064","F7/D6","ENSG00000067064 F7/D6",3.64871085427434
"ENSG00000067064","M8/D6","ENSG00000067064 M8/D6",9.95410705207066
"ENSG00000067334","D5/D6","ENSG00000067334 D5/D6",25.8545244830028
"ENSG00000067334","M8/D6","ENSG00000067334 M8/D6",20.9559786775693
"ENSG00000067596","D5/D6","ENSG00000067596 D5/D6",0.263755823253334
"ENSG00000067596","M8/D6","ENSG00000067596 M8/D6",2.46773990842504
"ENSG00000068024","D5/D6","ENSG00000068024 D5/D6",2.80799536810375
