"","Var1","Freq","gene","compare","gene_compare","FC","medianp","uchar","ubb","us","uc"
4,"ENSG00000002919 D5/D6",10,"ENSG00000002919","D5/D6","ENSG00000002919 D5/D6",0.574094586856444,1.37046706063046e-05,2.10968150250995,0.614118723703043,3.04463151948601,3.75468759529777
13,"ENSG00000006756 D5/D6",9,"ENSG00000006756","D5/D6","ENSG00000006756 D5/D6",1.35322974529562,0.000328469210630364,1.24854903316798,10.4511399944112,3.04463151948601,10.9569604800078
27,"ENSG00000008394 D5/D6",10,"ENSG00000008394","D5/D6","ENSG00000008394 D5/D6",0.300959982685867,1.64188401530034e-05,3.97466773100564,11.8130866142152,3.04463151948601,12.8303070897113
33,"ENSG00000011114 D5/D6",9,"ENSG00000011114","D5/D6","ENSG00000011114 D5/D6",0.811256348890497,0.000931686738415638,1.79615420294034,3.9011833857468,3.04463151948601,5.2645211386616
35,"ENSG00000011132 D5/D6",8,"ENSG00000011132","D5/D6","ENSG00000011132 D5/D6",0.82999009505241,0.0115901338892643,1.41920582030325,2.18506710556431,3.04463151948601,4.00729890395632
38,"ENSG00000011295 D5/D6",5,"ENSG00000011295","D5/D6","ENSG00000011295 D5/D6",1.15379011092903,0.0536144443675786,3.53036255499326,5.90745223354309,3.04463151948601,7.52537259879798
46,"ENSG00000011485 D5/D6",5,"ENSG00000011485","D5/D6","ENSG00000011485 D5/D6",1.0889120382995,0.0502661638553658,0.487898200747717,3.9837651107773,3.04463151948601,5.03767904908471
49,"ENSG00000012124 D5/D6",10,"ENSG00000012124","D5/D6","ENSG00000012124 D5/D6",1.52063008921081,6.31152727358477e-07,1.08486375969235,4.77065081016985,3.04463151948601,5.76244909904771
55,"ENSG00000013573 D5/D6",4,"ENSG00000013573","D5/D6","ENSG00000013573 D5/D6",1.14039011097281,0.0645353737585314,3.15071197166507,10.9171932799214,3.04463151948601,11.7635826230363
58,"ENSG00000015153 D5/D6",5,"ENSG00000015153","D5/D6","ENSG00000015153 D5/D6",0.889903275926499,0.207097905881691,1.94144524192164,5.62144249982296,3.04463151948601,6.68128778721914
67,"ENSG00000023909 D5/D6",5,"ENSG00000023909","D5/D6","ENSG00000023909 D5/D6",0.837705931604352,0.0406610235722665,2.28954182677135,7.70758872548873,3.04463151948601,8.5975988989522
68,"ENSG00000030419 D5/D6",7,"ENSG00000030419","D5/D6","ENSG00000030419 D5/D6",0.866718012725002,0.0255480023614262,2.65525369164879,11.1060859997449,3.04463151948601,11.8180074246969
71,"ENSG00000031081 D5/D6",10,"ENSG00000031081","D5/D6","ENSG00000031081 D5/D6",0.539980993053825,1.08745098547322e-07,1.12854924414351,2.52157460597937,3.04463151948601,4.11117294448003
80,"ENSG00000047621 D5/D6",9,"ENSG00000047621","D5/D6","ENSG00000047621 D5/D6",0.812493067984215,0.00709104317178553,1.15553689222194,8.492673157957,3.04463151948601,9.09563323615332
83,"ENSG00000051180 D5/D6",6,"ENSG00000051180","D5/D6","ENSG00000051180 D5/D6",1.34297581860626,0.0334810264481617,4.23795851240153,23.3598437831088,3.04463151948601,23.9355880440304
85,"ENSG00000052749 D5/D6",10,"ENSG00000052749","D5/D6","ENSG00000052749 D5/D6",1.41322469314699,0.000101172483370303,1.0368569006002,7.27808284557133,3.04463151948601,7.95709389342426
92,"ENSG00000054179 D5/D6",10,"ENSG00000054179","D5/D6","ENSG00000054179 D5/D6",4.44574882808913,1.55660144578027e-06,2.91355837274003,57.7900692967711,3.04463151948601,57.9435131210252
97,"ENSG00000055957 D5/D6",7,"ENSG00000055957","D5/D6","ENSG00000055957 D5/D6",0.384735073941727,0.00848825672423034,10.8256275274779,26.3492207066279,3.04463151948601,28.6486548427622
103,"ENSG00000057935 D5/D6",4,"ENSG00000057935","D5/D6","ENSG00000057935 D5/D6",0.872952891721736,0.151041232764884,3.22845724506869,5.0608334853457,3.04463151948601,6.73088053965308
106,"ENSG00000058056 D5/D6",10,"ENSG00000058056","D5/D6","ENSG00000058056 D5/D6",1.40007665750448,0.000116829563850817,1.8360449592481,7.83948257787397,3.04463151948601,8.60803864249096
111,"ENSG00000058600 D5/D6",10,"ENSG00000058600","D5/D6","ENSG00000058600 D5/D6",1.46045918622516,1.28875229647202e-05,1.46025330121522,5.2795193412312,3.04463151948601,6.26701246748337
114,"ENSG00000058866 D5/D6",10,"ENSG00000058866","D5/D6","ENSG00000058866 D5/D6",0.130910974670688,9.94629796313341e-08,3.33615107196919,3.01237848173422,3.04463151948601,5.42900627939075
123,"ENSG00000065154 D5/D6",10,"ENSG00000065154","D5/D6","ENSG00000065154 D5/D6",1.84913585878055,1.79332512517158e-05,1.86842859811078,13.7884840445821,3.04463151948601,14.2437038288284
131,"ENSG00000065923 D5/D6",8,"ENSG00000065923","D5/D6","ENSG00000065923 D5/D6",0.895177546907829,0.00441622671112204,0.865915030693645,3.25884493395576,3.04463151948601,4.54308928300974
134,"ENSG00000066044 D5/D6",8,"ENSG00000066044","D5/D6","ENSG00000066044 D5/D6",1.11332279708014,0.0110465141568318,1.39807939721793,3.51249233050641,3.04463151948601,4.85407143151389
139,"ENSG00000066933 D5/D6",10,"ENSG00000066933","D5/D6","ENSG00000066933 D5/D6",0.74820328388001,0.000195322988268701,1.63558092683911,3.46917979281991,3.04463151948601,4.89694950888791
142,"ENSG00000067057 D5/D6",10,"ENSG00000067057","D5/D6","ENSG00000067057 D5/D6",1.40360298589809,7.67996072982831e-06,1.03118083397515,3.07659617388059,3.04463151948601,4.44955717110614
148,"ENSG00000067334 D5/D6",5,"ENSG00000067334","D5/D6","ENSG00000067334 D5/D6",1.06876255113886,0.0500278778514094,3.50289115409979,25.8545244830028,3.04463151948601,26.2677837620365
151,"ENSG00000067596 D5/D6",9,"ENSG00000067596","D5/D6","ENSG00000067596 D5/D6",1.1600255485175,0.00165286382655482,0.664507557066993,0.263755823253334,3.04463151948601,3.12744600547266
154,"ENSG00000068024 D5/D6",8,"ENSG00000068024","D5/D6","ENSG00000068024 D5/D6",1.26885780572201,0.00227744051300425,0.918148680553176,2.80799536810375,3.04463151948601,4.24235972971899
163,"ENSG00000069424 D5/D6",8,"ENSG00000069424","D5/D6","ENSG00000069424 D5/D6",1.16256509857021,0.0014469113984336,0.563775651784129,3.75806567304909,3.04463151948601,4.86936152672424
168,"ENSG00000070214 D5/D6",10,"ENSG00000070214","D5/D6","ENSG00000070214 D5/D6",0.595310198101746,0.000419378762347578,4.68420969398822,6.86622739586215,3.04463151948601,8.85193087401776
173,"ENSG00000070404 D5/D6",6,"ENSG00000070404","D5/D6","ENSG00000070404 D5/D6",0.58044196862091,0.0327577806612406,6.71853063984508,12.3744736116615,3.04463151948601,14.4061109329927
185,"ENSG00000075399 D5/D6",5,"ENSG00000075399","D5/D6","ENSG00000075399 D5/D6",0.886425619875022,0.0934689457506532,5.4707729270747,8.22086692276618,3.04463151948601,10.3335274940793
187,"ENSG00000075407 D5/D6",9,"ENSG00000075407","D5/D6","ENSG00000075407 D5/D6",0.852553614685775,0.00413055173945042,0.927156336660581,2.88626481422761,3.04463151948601,4.29650143022272
190,"ENSG00000075415 D5/D6",7,"ENSG00000075415","D5/D6","ENSG00000075415 D5/D6",1.1103909349996,0.00229320507412181,0.694885844087832,6.63926176670221,3.04463151948601,7.33705964488194
198,"ENSG00000077380 D5/D6",5,"ENSG00000077380","D5/D6","ENSG00000077380 D5/D6",0.908664272134489,0.0866054517955427,2.42677922653801,4.15705924398596,3.04463151948601,5.69562815340092
203,"ENSG00000078369 D5/D6",5,"ENSG00000078369","D5/D6","ENSG00000078369 D5/D6",1.03122730589017,0.132388881618602,0.69649221845126,4.87552750238673,3.04463151948601,5.7901339299139
208,"ENSG00000078804 D5/D6",10,"ENSG00000078804","D5/D6","ENSG00000078804 D5/D6",1.4176421057196,4.32962160518171e-05,2.08512118936791,5.62383178942705,3.04463151948601,6.72644002869044
210,"ENSG00000079215 D5/D6",9,"ENSG00000079215","D5/D6","ENSG00000079215 D5/D6",2.28250609718809,0.00397995965114549,13.9124825055645,25.291043616137,3.04463151948601,29.0252276089341
213,"ENSG00000079616 D5/D6",10,"ENSG00000079616","D5/D6","ENSG00000079616 D5/D6",1.47059599995448,4.36097585690369e-05,1.60444385953887,9.89467549996667,3.04463151948601,10.4760977676566
216,"ENSG00000079819 D5/D6",10,"ENSG00000079819","D5/D6","ENSG00000079819 D5/D6",0.748789562710955,0.00142675118622885,2.39830083870327,2.63932558386329,3.04463151948601,4.689100930883
221,"ENSG00000080845 D5/D6",8,"ENSG00000080845","D5/D6","ENSG00000080845 D5/D6",1.29156254057592,0.000711668175682445,2.43079515049285,11.1449125232925,3.04463151948601,11.8062534830042
229,"ENSG00000083857 D5/D6",7,"ENSG00000083857","D5/D6","ENSG00000083857 D5/D6",0.426874039999814,0.0209103705392597,9.28076571266896,12.0018566547189,3.04463151948601,15.4740736867613
231,"ENSG00000085514 D5/D6",7,"ENSG00000085514","D5/D6","ENSG00000085514 D5/D6",0.773295224555539,0.0168052197984663,5.0410752416489,6.31207910331836,3.04463151948601,8.63276104661547
236,"ENSG00000086061 D5/D6",6,"ENSG00000086061","D5/D6","ENSG00000086061 D5/D6",0.927808034701146,0.0243366661447676,0.595325712935754,2.05351150821127,3.04463151948601,3.72036333014482
238,"ENSG00000086062 D5/D6",6,"ENSG00000086062","D5/D6","ENSG00000086062 D5/D6",0.927127216564165,0.0450220626594311,0.626836100229302,2.73766781733509,3.04463151948601,4.14216485235325
265,"ENSG00000090621 D5/D6",4,"ENSG00000090621","D5/D6","ENSG00000090621 D5/D6",1.10867889291224,0.0953928155078254,1.94188235825304,5.20387251526323,3.04463151948601,6.33411219807908
268,"ENSG00000090661 D5/D6",5,"ENSG00000090661","D5/D6","ENSG00000090661 D5/D6",0.911327042279345,0.0536677592679979,1.29362874188352,3.39477095112374,3.04463151948601,4.74001331452438
270,"ENSG00000090975 D5/D6",7,"ENSG00000090975","D5/D6","ENSG00000090975 D5/D6",1.40516250599255,0.0195417351163642,6.56190637167482,11.3092620196557,3.04463151948601,13.4248949250749
285,"ENSG00000095015 D5/D6",7,"ENSG00000095015","D5/D6","ENSG00000095015 D5/D6",1.13253046723114,0.0164991291884684,2.39673276877075,1.19860517647563,3.04463151948601,4.05595407067454
291,"ENSG00000099282 D5/D6",8,"ENSG00000099282","D5/D6","ENSG00000099282 D5/D6",1.7018781814218,0.0335608297890001,8.16059226049949,21.6925017864234,3.04463151948601,23.3758354050835
294,"ENSG00000099331 D5/D6",7,"ENSG00000099331","D5/D6","ENSG00000099331 D5/D6",0.821564357923967,0.00351512506321507,1.5572374109148,2.79524974707451,3.04463151948601,4.41680773771289
297,"ENSG00000099904 D5/D6",7,"ENSG00000099904","D5/D6","ENSG00000099904 D5/D6",1.16563017098559,0.0140451475314725,3.74018665902999,9.91772120428325,3.04463151948601,11.0281445048441
304,"ENSG00000100030 D5/D6",10,"ENSG00000100030","D5/D6","ENSG00000100030 D5/D6",1.22976998029927,4.70205583338722e-05,0.832416605815829,5.23026340277625,3.04463151948601,6.10887499933549
307,"ENSG00000100105 D5/D6",10,"ENSG00000100105","D5/D6","ENSG00000100105 D5/D6",1.35441516419987,0.000129007876905969,1.3102531725372,5.51638043469465,3.04463151948601,6.43560390063539
312,"ENSG00000100239 D5/D6",5,"ENSG00000100239","D5/D6","ENSG00000100239 D5/D6",1.08093179545359,0.0436315475047821,1.09675221776899,3.27941629193256,3.04463151948601,4.6073004821068
315,"ENSG00000100242 D5/D6",4,"ENSG00000100242","D5/D6","ENSG00000100242 D5/D6",0.938147957798914,0.189934647775648,2.27406112762905,2.0355776770647,3.04463151948601,4.31099890756253
