"","uchar","gene_compare","gene","compare"
"ENSG00000001461 D5/D6",1.21056072481784,"ENSG00000001461 D5/D6","ENSG00000001461","D5/D6"
"ENSG00000001461 F7/D6",1.33778407714984,"ENSG00000001461 F7/D6","ENSG00000001461","F7/D6"
"ENSG00000001461 M8/D6",0.988722211345801,"ENSG00000001461 M8/D6","ENSG00000001461","M8/D6"
"ENSG00000002919 D5/D6",2.10968150250995,"ENSG00000002919 D5/D6","ENSG00000002919","D5/D6"
"ENSG00000002919 F7/D6",2.37330636034223,"ENSG00000002919 F7/D6","ENSG00000002919","F7/D6"
"ENSG00000002919 M8/D6",1.16658815567712,"ENSG00000002919 M8/D6","ENSG00000002919","M8/D6"
"ENSG00000004939 D5/D6",15.1169175884057,"ENSG00000004939 D5/D6","ENSG00000004939","D5/D6"
"ENSG00000004939 F7/D6",22.3920021823869,"ENSG00000004939 F7/D6","ENSG00000004939","F7/D6"
"ENSG00000004939 M8/D6",28.7034768479878,"ENSG00000004939 M8/D6","ENSG00000004939","M8/D6"
"ENSG00000005075 D5/D6",2.00857842464636,"ENSG00000005075 D5/D6","ENSG00000005075","D5/D6"
"ENSG00000005075 F7/D6",1.30578174461995,"ENSG00000005075 F7/D6","ENSG00000005075","F7/D6"
"ENSG00000005075 M8/D6",2.6383853275554,"ENSG00000005075 M8/D6","ENSG00000005075","M8/D6"
"ENSG00000006327 D5/D6",15.2035455946412,"ENSG00000006327 D5/D6","ENSG00000006327","D5/D6"
"ENSG00000006327 F7/D6",8.17275881283571,"ENSG00000006327 F7/D6","ENSG00000006327","F7/D6"
"ENSG00000006327 M8/D6",14.9237450242889,"ENSG00000006327 M8/D6","ENSG00000006327","M8/D6"
"ENSG00000006712 D5/D6",1.09502150415904,"ENSG00000006712 D5/D6","ENSG00000006712","D5/D6"
"ENSG00000006712 F7/D6",0.917454796593512,"ENSG00000006712 F7/D6","ENSG00000006712","F7/D6"
"ENSG00000006712 M8/D6",2.16937867574612,"ENSG00000006712 M8/D6","ENSG00000006712","M8/D6"
"ENSG00000006756 D5/D6",1.24854903316798,"ENSG00000006756 D5/D6","ENSG00000006756","D5/D6"
"ENSG00000006756 F7/D6",2.01956208791211,"ENSG00000006756 F7/D6","ENSG00000006756","F7/D6"
"ENSG00000006756 M8/D6",1.26103311256438,"ENSG00000006756 M8/D6","ENSG00000006756","M8/D6"
"ENSG00000007255 D5/D6",1.15487202641869,"ENSG00000007255 D5/D6","ENSG00000007255","D5/D6"
"ENSG00000007255 F7/D6",1.48209639350699,"ENSG00000007255 F7/D6","ENSG00000007255","F7/D6"
"ENSG00000007255 M8/D6",3.25077120287956,"ENSG00000007255 M8/D6","ENSG00000007255","M8/D6"
"ENSG00000007376 D5/D6",8.84162731446702,"ENSG00000007376 D5/D6","ENSG00000007376","D5/D6"
"ENSG00000007376 F7/D6",1.64893619848202,"ENSG00000007376 F7/D6","ENSG00000007376","F7/D6"
"ENSG00000007376 M8/D6",4.00820516917431,"ENSG00000007376 M8/D6","ENSG00000007376","M8/D6"
"ENSG00000007384 D5/D6",6.43087418400804,"ENSG00000007384 D5/D6","ENSG00000007384","D5/D6"
"ENSG00000007384 F7/D6",6.94648428331613,"ENSG00000007384 F7/D6","ENSG00000007384","F7/D6"
"ENSG00000007384 M8/D6",7.36258682169743,"ENSG00000007384 M8/D6","ENSG00000007384","M8/D6"
"ENSG00000008282 D5/D6",2.44665915810903,"ENSG00000008282 D5/D6","ENSG00000008282","D5/D6"
"ENSG00000008282 F7/D6",1.31501841450056,"ENSG00000008282 F7/D6","ENSG00000008282","F7/D6"
"ENSG00000008282 M8/D6",0.726161053731335,"ENSG00000008282 M8/D6","ENSG00000008282","M8/D6"
"ENSG00000008394 D5/D6",3.97466773100564,"ENSG00000008394 D5/D6","ENSG00000008394","D5/D6"
"ENSG00000008394 F7/D6",3.06155293633338,"ENSG00000008394 F7/D6","ENSG00000008394","F7/D6"
"ENSG00000008394 M8/D6",3.83100377367522,"ENSG00000008394 M8/D6","ENSG00000008394","M8/D6"
"ENSG00000009335 D5/D6",1.17112288755087,"ENSG00000009335 D5/D6","ENSG00000009335","D5/D6"
"ENSG00000009335 F7/D6",0.984239972968034,"ENSG00000009335 F7/D6","ENSG00000009335","F7/D6"
"ENSG00000009335 M8/D6",0.865367158455778,"ENSG00000009335 M8/D6","ENSG00000009335","M8/D6"
"ENSG00000011114 D5/D6",1.79615420294034,"ENSG00000011114 D5/D6","ENSG00000011114","D5/D6"
"ENSG00000011114 F7/D6",1.00119941821326,"ENSG00000011114 F7/D6","ENSG00000011114","F7/D6"
"ENSG00000011114 M8/D6",2.54079128895985,"ENSG00000011114 M8/D6","ENSG00000011114","M8/D6"
"ENSG00000011132 D5/D6",1.41920582030325,"ENSG00000011132 D5/D6","ENSG00000011132","D5/D6"
"ENSG00000011132 F7/D6",1.39026271408972,"ENSG00000011132 F7/D6","ENSG00000011132","F7/D6"
"ENSG00000011132 M8/D6",2.27503576851346,"ENSG00000011132 M8/D6","ENSG00000011132","M8/D6"
"ENSG00000011295 D5/D6",3.53036255499326,"ENSG00000011295 D5/D6","ENSG00000011295","D5/D6"
"ENSG00000011295 F7/D6",3.73671235129944,"ENSG00000011295 F7/D6","ENSG00000011295","F7/D6"
"ENSG00000011295 M8/D6",3.01795366938952,"ENSG00000011295 M8/D6","ENSG00000011295","M8/D6"
"ENSG00000011451 D5/D6",2.69115224833627,"ENSG00000011451 D5/D6","ENSG00000011451","D5/D6"
"ENSG00000011451 F7/D6",3.44092616694152,"ENSG00000011451 F7/D6","ENSG00000011451","F7/D6"
"ENSG00000011451 M8/D6",3.7213638561366,"ENSG00000011451 M8/D6","ENSG00000011451","M8/D6"
"ENSG00000011454 D5/D6",0.851052336957037,"ENSG00000011454 D5/D6","ENSG00000011454","D5/D6"
"ENSG00000011454 F7/D6",2.33681941656882,"ENSG00000011454 F7/D6","ENSG00000011454","F7/D6"
"ENSG00000011454 M8/D6",2.50406030862296,"ENSG00000011454 M8/D6","ENSG00000011454","M8/D6"
"ENSG00000011485 D5/D6",0.487898200747717,"ENSG00000011485 D5/D6","ENSG00000011485","D5/D6"
"ENSG00000011485 F7/D6",1.47739969396805,"ENSG00000011485 F7/D6","ENSG00000011485","F7/D6"
"ENSG00000011485 M8/D6",1.66276841398111,"ENSG00000011485 M8/D6","ENSG00000011485","M8/D6"
"ENSG00000012124 D5/D6",1.08486375969235,"ENSG00000012124 D5/D6","ENSG00000012124","D5/D6"
"ENSG00000012124 F7/D6",0.730367507098979,"ENSG00000012124 F7/D6","ENSG00000012124","F7/D6"
"ENSG00000012124 M8/D6",1.45644663544409,"ENSG00000012124 M8/D6","ENSG00000012124","M8/D6"
"ENSG00000012211 D5/D6",3.94001019536813,"ENSG00000012211 D5/D6","ENSG00000012211","D5/D6"
"ENSG00000012211 F7/D6",2.90721992205422,"ENSG00000012211 F7/D6","ENSG00000012211","F7/D6"
"ENSG00000012211 M8/D6",2.54053972321578,"ENSG00000012211 M8/D6","ENSG00000012211","M8/D6"
"ENSG00000013573 D5/D6",3.15071197166507,"ENSG00000013573 D5/D6","ENSG00000013573","D5/D6"
"ENSG00000013573 F7/D6",1.83069963467758,"ENSG00000013573 F7/D6","ENSG00000013573","F7/D6"
"ENSG00000013573 M8/D6",4.27076993639394,"ENSG00000013573 M8/D6","ENSG00000013573","M8/D6"
"ENSG00000015153 D5/D6",1.94144524192164,"ENSG00000015153 D5/D6","ENSG00000015153","D5/D6"
"ENSG00000015153 F7/D6",2.60077568220495,"ENSG00000015153 F7/D6","ENSG00000015153","F7/D6"
"ENSG00000015153 M8/D6",1.68489303491012,"ENSG00000015153 M8/D6","ENSG00000015153","M8/D6"
"ENSG00000015479 D5/D6",1.47856644986941,"ENSG00000015479 D5/D6","ENSG00000015479","D5/D6"
"ENSG00000015479 F7/D6",1.35366903701436,"ENSG00000015479 F7/D6","ENSG00000015479","F7/D6"
"ENSG00000015479 M8/D6",1.45776565253858,"ENSG00000015479 M8/D6","ENSG00000015479","M8/D6"
"ENSG00000018236 D5/D6",14.6437793744182,"ENSG00000018236 D5/D6","ENSG00000018236","D5/D6"
"ENSG00000018236 F7/D6",9.33104112051499,"ENSG00000018236 F7/D6","ENSG00000018236","F7/D6"
"ENSG00000018236 M8/D6",21.715827917233,"ENSG00000018236 M8/D6","ENSG00000018236","M8/D6"
"ENSG00000019186 D5/D6",14.0634117452244,"ENSG00000019186 D5/D6","ENSG00000019186","D5/D6"
"ENSG00000019186 F7/D6",17.9522703273799,"ENSG00000019186 F7/D6","ENSG00000019186","F7/D6"
