"gene_compare","gene","compare","uchar"
"ENSG00000002919 D5/D6","ENSG00000002919","D5/D6",2.10968150250995
"ENSG00000006756 D5/D6","ENSG00000006756","D5/D6",1.24854903316798
"ENSG00000008394 D5/D6","ENSG00000008394","D5/D6",3.97466773100564
"ENSG00000011114 D5/D6","ENSG00000011114","D5/D6",1.79615420294034
"ENSG00000011132 D5/D6","ENSG00000011132","D5/D6",1.41920582030325
"ENSG00000011295 D5/D6","ENSG00000011295","D5/D6",3.53036255499326
"ENSG00000011485 D5/D6","ENSG00000011485","D5/D6",0.487898200747717
"ENSG00000012124 D5/D6","ENSG00000012124","D5/D6",1.08486375969235
"ENSG00000013573 D5/D6","ENSG00000013573","D5/D6",3.15071197166507
"ENSG00000015153 D5/D6","ENSG00000015153","D5/D6",1.94144524192164
"ENSG00000023909 D5/D6","ENSG00000023909","D5/D6",2.28954182677135
"ENSG00000030419 D5/D6","ENSG00000030419","D5/D6",2.65525369164879
"ENSG00000031081 D5/D6","ENSG00000031081","D5/D6",1.12854924414351
"ENSG00000047621 D5/D6","ENSG00000047621","D5/D6",1.15553689222194
"ENSG00000051180 D5/D6","ENSG00000051180","D5/D6",4.23795851240153
"ENSG00000052749 D5/D6","ENSG00000052749","D5/D6",1.0368569006002
"ENSG00000054179 D5/D6","ENSG00000054179","D5/D6",2.91355837274003
"ENSG00000055957 D5/D6","ENSG00000055957","D5/D6",10.8256275274779
"ENSG00000057935 D5/D6","ENSG00000057935","D5/D6",3.22845724506869
"ENSG00000058056 D5/D6","ENSG00000058056","D5/D6",1.8360449592481
"ENSG00000058600 D5/D6","ENSG00000058600","D5/D6",1.46025330121522
"ENSG00000058866 D5/D6","ENSG00000058866","D5/D6",3.33615107196919
"ENSG00000065154 D5/D6","ENSG00000065154","D5/D6",1.86842859811078
"ENSG00000065923 D5/D6","ENSG00000065923","D5/D6",0.865915030693645
"ENSG00000066044 D5/D6","ENSG00000066044","D5/D6",1.39807939721793
"ENSG00000066933 D5/D6","ENSG00000066933","D5/D6",1.63558092683911
"ENSG00000067057 D5/D6","ENSG00000067057","D5/D6",1.03118083397515
"ENSG00000067334 D5/D6","ENSG00000067334","D5/D6",3.50289115409979
"ENSG00000067596 D5/D6","ENSG00000067596","D5/D6",0.664507557066993
"ENSG00000068024 D5/D6","ENSG00000068024","D5/D6",0.918148680553176
"ENSG00000069424 D5/D6","ENSG00000069424","D5/D6",0.563775651784129
"ENSG00000070214 D5/D6","ENSG00000070214","D5/D6",4.68420969398822
"ENSG00000070404 D5/D6","ENSG00000070404","D5/D6",6.71853063984508
"ENSG00000075399 D5/D6","ENSG00000075399","D5/D6",5.4707729270747
"ENSG00000075407 D5/D6","ENSG00000075407","D5/D6",0.927156336660581
"ENSG00000075415 D5/D6","ENSG00000075415","D5/D6",0.694885844087832
"ENSG00000077380 D5/D6","ENSG00000077380","D5/D6",2.42677922653801
"ENSG00000078369 D5/D6","ENSG00000078369","D5/D6",0.69649221845126
"ENSG00000078804 D5/D6","ENSG00000078804","D5/D6",2.08512118936791
"ENSG00000079215 D5/D6","ENSG00000079215","D5/D6",13.9124825055645
"ENSG00000079616 D5/D6","ENSG00000079616","D5/D6",1.60444385953887
