"gene_compare","gene","compare","us"
"ENSG00000002919 D5/D6","ENSG00000002919","D5/D6",3.04463151948601
"ENSG00000006756 D5/D6","ENSG00000006756","D5/D6",3.04463151948601
"ENSG00000008394 D5/D6","ENSG00000008394","D5/D6",3.04463151948601
"ENSG00000011114 D5/D6","ENSG00000011114","D5/D6",3.04463151948601
"ENSG00000011132 D5/D6","ENSG00000011132","D5/D6",3.04463151948601
"ENSG00000011295 D5/D6","ENSG00000011295","D5/D6",3.04463151948601
"ENSG00000011485 D5/D6","ENSG00000011485","D5/D6",3.04463151948601
"ENSG00000012124 D5/D6","ENSG00000012124","D5/D6",3.04463151948601
"ENSG00000013573 D5/D6","ENSG00000013573","D5/D6",3.04463151948601
"ENSG00000015153 D5/D6","ENSG00000015153","D5/D6",3.04463151948601
"ENSG00000023909 D5/D6","ENSG00000023909","D5/D6",3.04463151948601
"ENSG00000030419 D5/D6","ENSG00000030419","D5/D6",3.04463151948601
"ENSG00000031081 D5/D6","ENSG00000031081","D5/D6",3.04463151948601
"ENSG00000047621 D5/D6","ENSG00000047621","D5/D6",3.04463151948601
"ENSG00000051180 D5/D6","ENSG00000051180","D5/D6",3.04463151948601
"ENSG00000052749 D5/D6","ENSG00000052749","D5/D6",3.04463151948601
"ENSG00000054179 D5/D6","ENSG00000054179","D5/D6",3.04463151948601
"ENSG00000055957 D5/D6","ENSG00000055957","D5/D6",3.04463151948601
"ENSG00000057935 D5/D6","ENSG00000057935","D5/D6",3.04463151948601
"ENSG00000058056 D5/D6","ENSG00000058056","D5/D6",3.04463151948601
"ENSG00000058600 D5/D6","ENSG00000058600","D5/D6",3.04463151948601
"ENSG00000058866 D5/D6","ENSG00000058866","D5/D6",3.04463151948601
"ENSG00000065154 D5/D6","ENSG00000065154","D5/D6",3.04463151948601
"ENSG00000065923 D5/D6","ENSG00000065923","D5/D6",3.04463151948601
"ENSG00000066044 D5/D6","ENSG00000066044","D5/D6",3.04463151948601
"ENSG00000066933 D5/D6","ENSG00000066933","D5/D6",3.04463151948601
"ENSG00000067057 D5/D6","ENSG00000067057","D5/D6",3.04463151948601
"ENSG00000067334 D5/D6","ENSG00000067334","D5/D6",3.04463151948601
"ENSG00000067596 D5/D6","ENSG00000067596","D5/D6",3.04463151948601
"ENSG00000068024 D5/D6","ENSG00000068024","D5/D6",3.04463151948601
"ENSG00000069424 D5/D6","ENSG00000069424","D5/D6",3.04463151948601
"ENSG00000070214 D5/D6","ENSG00000070214","D5/D6",3.04463151948601
"ENSG00000070404 D5/D6","ENSG00000070404","D5/D6",3.04463151948601
