"","D5_U01_LE1","D6_U01_LE1","F7_U01_LE1","M8_U01_LE1","D5_U01_LE2","D6_U01_LE2","F7_U01_LE2","M8_U01_LE2","D5_U01_LE3","D6_U01_LE3","F7_U01_LE3","M8_U01_LE3","D5_U02_LE4","D6_U02_LE4","F7_U02_LE4","M8_U02_LE4","D5_U03_LE5","D6_U03_LE5","F7_U03_LE5","M8_U03_LE5","D5_U04_LE6","D6_U04_LE6","F7_U04_LE6","M8_U04_LE6","D5_U05_LE7","D6_U05_LE7","F7_U05_LE7","M8_U05_LE7","D5_U06_LE8","D6_U06_LE8","F7_U06_LE8","M8_U06_LE8","D5_U07_LE9","D6_U07_LE9","F7_U07_LE9","M8_U07_LE9","D5_U08_LE10","D6_U08_LE10","F7_U08_LE10","M8_U08_LE10","D5_U09_LE11","D6_U09_LE11","F7_U09_LE11","M8_U09_LE11","D5_U10_LE12","D6_U10_LE12","F7_U10_LE12","M8_U10_LE12","D5_U11_LE13","D6_U11_LE13","M8_U11_LE13","F7_U11_LE13","D5_U12_LE14","D6_U12_LE14","F7_U12_LE14","M8_U12_LE14","D5_U13_LE15","D6_U13_LE15","F7_U13_LE15","M8_U13_LE15","D5_U14_LE16","D6_U14_LE16","M8_U14_LE16","F7_U14_LE16","D5_U15_LE16","D6_U15_LE16","M8_U15_LE16","F7_U15_LE16","D5_U16_LE16","D6_U16_LE16","F7_U16_LE16","M8_U16_LE16"
"ENSG00000239951",0.321844993259657,5.733128671359,-1.13746687976127,-6.64385618977472,0.82839192493835,5.66460682375319,0.166511075470422,0.526907134546113,1.01898305622068,5.7392929200523,-1.62670481541687,-6.64385618977472,0.708116589698354,5.67492308616994,-0.727532421785269,-6.64385618977472,0.707705006090529,5.85577295296248,-0.660750853311441,-0.281566912219073,-0.372081311989054,5.56433365530947,0.5224605712596,-1.2032494297003,0.364473821420108,5.80616887425059,-0.863711474641955,-0.937270383792933,0.971051643287981,5.93545324151887,-6.64385618977472,-0.454836207097608,2.26694541576411,6.13681994653222,0.409016126201423,-6.64385618977472,0.937348912336491,5.92138419974731,-0.235737082996673,-0.113562229242043,0.466334766867534,6.0354915979721,-6.64385618977472,-0.355265072662198,0.397338596664736,5.68202097314146,-0.0117363235293572,-1.22708736860284,0.473839891701569,5.75811731102644,-2.0284163500303,0.471821118345635,-0.310276816542638,5.82669485939043,-0.924434510672087,-0.741341184370245,0.588233707047885,5.6560722233699,-1.50720131863167,-0.75582898747491,0.590314577496656,5.7888876163747,-1.71540058681085,-1.52710885021357,0.759577712462228,5.8852968531544,-0.34182417082561,-0.822245456788348,1.25807323345671,5.94464856056931,-0.0245062764544113,-6.64385618977472
"ENSG00000211638",2.96266413780634,2.05257970099503,-3.09072919090387,6.26675933533191,3.44519181664472,1.58556397915367,-1.18932493190938,6.19154342463994,3.1620777187377,1.45414008863101,-6.64385618977472,6.16806222182891,3.36708417566958,2.20851351416232,-6.64385618977472,6.19173166714676,3.15934048877144,2.13005246891178,-4.44231642048033,6.38009937842582,3.43602654698921,1.80634756931204,-0.81421970189325,6.36891987299344,3.17753435101554,2.16128855745811,-6.64385618977472,6.6672413752374,3.3424998469283,1.52678397067351,-3.18222286322429,6.28965205155812,3.36737665747894,2.08862705060393,-6.64385618977472,6.34469151611433,3.59691201138875,2.12305826937458,-3.59112730509896,6.48496689482035,3.04935492175977,1.26568832556207,-0.813375208588686,6.60602613480096,3.22097407037908,2.72073440740805,-6.64385618977472,6.50661844367644,2.79638095974892,1.18646252476073,6.35261553354499,-2.23606838415036,3.35471886806472,1.81481412442386,-6.64385618977472,6.57285005438053,3.46220849320909,1.60032447210511,-2.11008106249616,6.31980671202012,3.10551097168406,1.52548259772446,6.57249920897333,-6.64385618977472,3.0659341462419,1.81056731628895,6.37873310849246,-6.64385618977472,3.36818249317315,2.41548421473179,-1.27295958556163,6.18749398979818
"ENSG00000253333",-6.64385618977472,-6.64385618977472,-1.52233924927726,-6.64385618977472,-0.916229748309002,-1.44117597017042,-0.492762506191792,0.530133683918247,-6.64385618977472,-6.64385618977472,-6.64385618977472,-0.440085351897735,-0.690351142432856,-6.64385618977472,-6.64385618977472,-6.64385618977472,-2.00170916295267,-6.64385618977472,-0.328199395363814,0.0210461430632631,-6.64385618977472,-0.493595074736563,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472,0.124064719842805,-0.495277923423803,-0.75736944829106,0.538227243004246,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472,0.371367048085627,-0.293173313727379,-6.64385618977472,-0.91139160462764,-0.162381249651173,0.296700552579299,-6.64385618977472,-2.04905089201727,-0.0714667019193278,-6.64385618977472,-0.844066880751017,-6.64385618977472,-0.951593603116681,-6.64385618977472,-6.64385618977472,-0.60104115522404,-0.511158030929352,-0.3231512973398,-6.64385618977472,-6.64385618977472,0.186210214577922,-6.64385618977472,-1.21505050458188,-6.64385618977472,-6.64385618977472,-0.656560339266396,-0.96668907048519,-1.11566309660501,-6.64385618977472,0.119334926599484,-6.64385618977472,0.0325565076289023,-0.114994235885059,-0.195457362736421,-0.0184483352483055,-6.64385618977472,-6.64385618977472,-0.552228280643964
"ENSG00000230658",-1.35585206908008,-2.92006830061162,-1.80571118646236,-1.5614644127764,-2.29808371800877,-3.38505086501048,-1.68911548108306,-1.33447624619943,-2.24415187596016,-1.28343923545489,-2.47773529621665,-2.16630189800221,-1.2625832013897,-2.59232747103797,-0.983064448829054,-1.84308050930424,-1.63164510582385,-1.94649380154163,-1.50755814776489,-1.15174343170655,-4.33046520494133,-1.21671937145918,-1.7301242305287,-2.51060504066833,-2.0648088259161,-1.87857075416871,-1.00251825671,-3.68557028885147,-2.71918618160497,-1.18509689250487,-2.23002519773423,-3.1899962498057,-1.66389488883438,-1.60469585724137,-1.202030801177,-1.81198907990402,-1.82368744116589,-2.16601051444198,-2.4400285918326,-1.81435161935651,-1.69394779182141,-3.62525762059232,-2.17253864552841,-2.17411995947521,-1.71085961151693,-1.81144715412449,-0.796741199691139,-3.36919197211617,-1.80054562653699,-3.61886284277128,-1.2351647059378,-4.05294283951882,-1.54282809904922,-2.91712304446954,-1.50811612650441,-2.5306474507484,-2.94102136756313,-2.75499606905018,-1.44931994176729,-2.41993943925573,-3.26268358505793,-2.50625430380704,-2.3644146100911,-1.90694289425167,-0.716706395945638,-2.26578854099469,-3.30105968798014,-1.23991023295033,-2.74401351541632,-2.16764950278548,-2.4775745824832,-2.86416572164716
"ENSG00000237525",-6.64385618977472,-4.87368427450353,-6.64385618977472,-6.64385618977472,-3.95203858322471,-6.64385618977472,-5.2692254709846,-6.64385618977472,-6.64385618977472,-2.96867299314538,-5.37880192270106,-6.64385618977472,-6.64385618977472,-2.93457059466899,-3.26926348596945,-3.15177002404962,-6.64385618977472,-3.9786960106555,-3.76863353921489,-6.64385618977472,-6.64385618977472,-3.99138477009464,-4.52131505868973,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472,-4.67137383538589,-2.13559807818646,-3.01274735460117,-3.2348101702656,-4.08716349577483,-6.64385618977472,-4.2272447575572,-5.14515859004217,-6.64385618977472,-6.64385618977472,-6.64385618977472,-5.63447139183143,-6.64385618977472,-4.88893859437523,-6.64385618977472,-6.64385618977472,-6.64385618977472,-5.05134270162689,-4.93607729312936,-3.54584951531965,-4.53278780861463,-3.29474854514215,-6.64385618977472,-6.64385618977472,-6.64385618977472,-2.50634319017257,-3.64998040816751,-6.64385618977472,-3.97472120351222,-6.64385618977472,-3.31705514821443,-6.64385618977472,-4.59502937351033,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472,-3.01136215200281,-3.92575893672027,-4.01863428987782,-6.64385618977472,-3.17442340549824,-6.64385618977472,-6.64385618977472
"ENSG00000183476",-4.34475976610377,-3.19907888446704,-3.80142532422291,-3.15834218523813,-3.56888530930983,-4.38031067954342,-4.32569121906896,-3.66641888828,-4.47712567531074,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472,-2.64435077630138,-6.64385618977472,-2.62861213657429,-3.12912043798155,-3.88337102539718,-4.1256383275191,-6.64385618977472,-6.64385618977472,-6.64385618977472,-4.13909021327203,-6.64385618977472,-5.5240903388746,-3.78567144079855,-4.72759510581188,-4.24331399768922,-4.71937304294896,-3.55491537736674,-6.64385618977472,-3.68949028426602,-6.64385618977472,-2.70971112854149,-4.62433395631024,-3.83971508848087,-4.28474654972986,-4.3843888955572,-6.64385618977472,-3.85856856936404,-3.73493559299988,-6.64385618977472,-5.22946981747914,-3.72164876785332,-6.64385618977472,-4.20237889849594,-4.03392886609459,-4.36629741272788,-6.64385618977472,-3.03130736573606,-3.49189753382467,-6.64385618977472,-6.64385618977472,-3.19221534743368,-5.03809989046026,-2.91657458222937,-4.85798210888857,-6.64385618977472,-3.7622371031765,-3.22049644295257,-3.8426558679252,-3.93132762661673,-3.95136190256901,-4.04102949001213,-3.30873096515149,-6.64385618977472,-3.95716800678452,-4.94163023409478,-3.25896076106391,-3.62505358049715,-2.82963928581932,-3.42563102384425
"ENSG00000141858",4.97434618596788,4.64058121288928,4.36393713824433,4.16140420423622,4.85120160879691,4.40533268696776,4.5460466208372,4.16879859605633,4.71430631292816,4.30727229909176,4.49124957541468,3.88210322198096,4.82823642632776,4.48960315778389,4.47431302408052,4.12855289531099,4.77869871396442,4.5434577746155,4.68705129398997,4.2485024624213,4.82185060671401,4.37065507612854,4.35011500319656,4.04270924059238,4.63728828564345,4.45611914327452,4.2690967022071,4.19376074418469,4.77775627423698,4.74484306479955,4.43173536788533,4.36796910093851,4.68715179367123,4.76239578911499,4.6495501563798,4.14366950607949,4.61296048486883,4.58681528122395,4.28993550413508,4.0981797003892,4.70810055912472,4.45160702469517,4.52662636503527,4.1101841783577,4.83134055659203,4.39879476252419,4.4311132694217,4.02596776132073,4.77466876535243,4.56295587650144,4.26062262822048,4.38785669368301,4.83398006659432,4.57078948719087,4.43547076764899,4.39940359581637,5.08219111845836,4.47531614321786,4.31333676483585,3.95700829039272,4.80072369300876,4.48254293428941,4.19035346854286,4.38421497693975,4.87149494521543,4.50560863743195,4.25107018755982,4.48050004633073,4.93248186344574,4.69191372969998,4.44203243187598,4.31223603501403
"ENSG00000101230",-6.64385618977472,-6.64385618977472,-3.66973074158619,-2.67934665638581,-6.64385618977472,-2.26530295091811,-4.6519942592184,-3.34509524711574,-6.64385618977472,-3.35094195422863,-4.50855117139695,-6.64385618977472,-4.18810156758853,-2.99802774190124,-3.88879771166404,-6.64385618977472,-6.64385618977472,-2.85355331255959,-4.65613513608964,-2.83347478482722,-3.10984440503143,-6.64385618977472,-3.49475944559533,-6.64385618977472,-3.89775844608472,-2.65610785460278,-2.60568342585604,-3.6595585065515,-4.76819406300132,-6.64385618977472,-6.64385618977472,-3.26434612322166,-6.64385618977472,-3.03946456641657,-6.64385618977472,-3.54634652017669,-3.29638895311562,-6.64385618977472,-4.23365078520691,-3.81931234337129,-3.60656183250817,-4.00870546574209,-2.29655196109593,-6.64385618977472,-3.77791758530282,-4.41374542328585,-3.28162478272452,-3.38374017995955,-3.48424314879586,-4.88006221369539,-4.41947627990767,-3.96449995623394,-2.5192633643689,-3.22612517011319,-2.36851384406761,-4.31447422347843,-2.57570133371042,-2.2582249839027,-4.46160884480039,-3.66043386193119,-3.91756990005405,-6.64385618977472,-2.16437985318301,-4.53439533060978,-4.60499863975436,-1.87814111780175,-3.97140821747028,-4.27751998582664,-6.64385618977472,-6.64385618977472,-3.48193626876271,-2.77518917671049
"ENSG00000157837",3.31815414764984,3.17057803091894,3.10528864181214,3.26206704550614,3.30091920484964,3.31697484377227,3.12955697883475,3.17098306565074,3.35939906187142,3.41798314458586,3.21807503876206,3.28849534697311,3.18776857985701,3.32267802432397,3.0623414848857,3.21044911830566,3.32303785337936,3.26887726605937,2.90127468836048,3.04574364418496,3.25055366522678,3.15097415871595,3.08600302124492,2.98421850547125,3.05891469304006,3.18565008042598,2.89345175740575,2.92362993473683,3.25568894664902,3.08199614923015,3.09482300112708,3.21040874126697,3.19679028368232,3.21547386955755,2.80028893757972,3.22146098246498,3.21323632542975,3.19028740570217,3.11517473152119,3.11856283926197,3.14776414995013,3.01820328392367,3.01528960999943,3.20055944593137,3.13062592943923,3.16676097493231,3.13070626161608,3.02477703429322,3.17671954187977,3.40474707190823,3.23769786038821,3.06131624510176,3.40579897930536,3.35037473019937,3.17708093976203,3.23814046842328,3.21927733545644,3.33976372927896,3.03910936788952,3.15784714499802,3.25740619697596,3.23412522508064,3.23705912244306,3.0585787002039,3.1830170063826,3.17003742308053,3.27729008111794,3.02177069978289,3.18418562877533,3.3245246248582,2.99236702677789,3.32180171474873
"ENSG00000146066",5.51670603121389,5.65258696380005,5.97295004183803,6.07066583940935,5.71572213641985,5.70503542006773,5.97593422340541,5.8621548619776,5.49955196183162,5.5436591053614,5.83897780277531,5.71946959591202,5.37023780867484,5.67419469794581,5.8675361404984,5.78636948548457,5.43092724986255,5.66449919574612,6.0673680140827,5.76591242312694,5.6444728101115,5.79983685672313,5.69276378394637,5.79496445405273,5.73771828622318,5.72988004510739,5.91628972688762,6.02983142209426,5.60369894521117,5.64050747559853,5.81155621278633,5.75146851478717,5.5251830732202,5.54387287125598,5.93350017122874,5.78082182901693,5.61514032130512,5.62520744315915,5.81418857642079,5.86404134777089,5.7818335741315,5.78496621515963,5.84286547272452,6.09814050215765,5.53762135131444,5.74474634497671,5.88325029615757,5.95488784708521,5.74724559391576,5.70073047512307,5.68225969619552,6.01058440835698,5.59229362224345,5.46059841811967,5.52482724049625,5.64882860211994,5.92037789168887,5.61486364487384,5.80105955796275,5.95441674665522,5.56815368259048,5.70090261026058,5.95810515826386,6.12542208788042,5.74680781506291,5.69834004072229,5.94627391096289,6.09431301716035,5.74231431411993,5.6710800949095,5.92354641375183,5.7504542420977
