library,RIN
D5_0_1,9.5
D5_1_1,9.9
D5_2_1,9.7
D5_3_1,10
D5_4_1,9.5
D5_5_1,9.9
D5_6_1,9.8
D5_7_1,10
D5_8_1,10
D5_9_1,9.1
D5_11_1,9.9
D5_12_1,9.8
D5_13_1,9.8
D5_15_1,9.7
D5_16_1,9.6
D5_17_1,9.7
D5_20_1,9.9
D5_0_2,9.7
D5_1_2,9.5
D5_2_2,9.8
D5_3_2,9.9
D5_4_2,9.8
D5_5_2,9.9
D5_6_2,9.8
D5_7_2,9.7
D5_8_2,10
D5_9_2,9.3
D5_11_2,9.8
D5_12_2,9.8
D5_13_2,9.8
D5_15_2,8.2
D5_16_2,10
D5_17_2,9.6
D5_20_2,9.9
D5_0_3,9.5
D5_1_3,9.7
D5_2_3,9.7
D5_3_3,9.7
D5_4_3,9.7
D5_5_3,9.9
D5_6_3,9.9
D5_7_3,9.9
D5_8_3,9.9
D5_9_3,9.1
D5_11_3,9.8
D5_12_3,9.7
D5_13_3,9.9
D5_15_3,9.8
D5_16_3,10
D5_17_3,9.7
D5_20_3,9.8
D6_0_1,9.5
D6_1_1,9.6
D6_2_1,9.8
D6_3_1,9.9
D6_4_1,9.6
D6_5_1,9.7
D6_6_1,9.5
D6_7_1,9.8
D6_8_1,9.9
D6_9_1,9.4
D6_11_1,9.8
D6_12_1,9.6
D6_13_1,9.7
D6_15_1,9.6
D6_16_1,9.3
D6_17_1,9.5
D6_20_1,9.4
D6_0_2,9.5
D6_1_2,9.4
D6_2_2,9.8
D6_3_2,10
D6_4_2,9.6
D6_5_2,9.8
D6_6_2,9.7
D6_7_2,9.7
D6_8_2,9.8
D6_9_2,8.5
D6_11_2,9.9
D6_12_2,9.6
D6_13_2,9.6
D6_15_2,9.7
D6_16_2,9.8
D6_20_2,9.6
D6_0_3,9.1
D6_1_3,9.4
D6_2_3,9.6
D6_3_3,9.8
D6_4_3,9.5
D6_5_3,9.7
D6_6_3,9.7
D6_7_3,9.8
D6_8_3,9.7
D6_9_3,9.5
D6_11_3,9.7
D6_12_3,9.7
D6_13_3,9.7
D6_15_3,9.6
D6_16_3,9.8
D6_17_3,9.7
D6_20_3,9.6
F7_0_1,9.6
F7_1_1,9.7
F7_2_1,9.8
F7_3_1,9.7
F7_4_1,9.6
F7_5_1,9.8
F7_6_1,9.7
F7_7_1,9.7
F7_8_1,9.9
F7_9_1,9.3
F7_11_1,9.7
F7_12_1,9.7
F7_13_1,9.8
F7_15_1,9.7
F7_16_1,9.6
F7_17_1,9.6
F7_20_1,9.7
F7_0_2,9.6
F7_1_2,9.5
F7_2_2,9.6
F7_3_2,9.7
F7_4_2,9.6
F7_5_2,9.7
F7_6_2,9.7
F7_7_2,9.7
F7_8_2,9.91
F7_9_2,8.6
F7_11_2,9.7
F7_12_2,9.7
F7_13_2,9.7
F7_15_2,9.7
F7_16_2,9.8
F7_17_2,9.4
F7_20_2,9.6
F7_0_3,9.4
F7_1_3,9.5
F7_2_3,9.7
F7_3_3,9.6
F7_4_3,9.7
F7_5_3,9.7
F7_6_3,9.7
F7_7_3,9.9
F7_8_3,9.8
F7_9_3,9.3
F7_11_3,9.7
F7_12_3,9.5
F7_13_3,9.7
F7_15_3,9.7
F7_16_3,9.8
F7_17_3,9.6
F7_20_3,9.5
M8_0_1,9.7
M8_1_1,9.7
M8_2_1,9.8
M8_3_1,9.9
M8_4_1,9.9
M8_5_1,10
M8_6_1,9.8
M8_7_1,10
M8_8_1,10
M8_9_1,8.5
M8_11_1,10
M8_12_1,9.8
M8_13_1,9.8
M8_15_1,9.8
M8_16_1,9.7
M8_17_1,9.6
M8_20_1,9.8
M8_0_2,9.7
M8_1_2,9.7
M8_2_2,9.8
M8_3_2,9.9
M8_4_2,9.9
M8_5_2,10
M8_6_2,9.8
M8_7_2,9.9
M8_8_2,9.9
M8_9_2,8.8
M8_11_2,9.8
M8_12_2,9.7
M8_13_2,9.8
M8_15_2,9.9
M8_16_2,10
M8_17_2,9.7
M8_20_2,9.9
M8_0_3,9.6
M8_1_3,9.7
M8_2_3,9.8
M8_3_3,9.8
M8_4_3,9.8
M8_5_3,9.8
M8_6_3,9.7
M8_7_3,9.9
M8_8_3,9.9
M8_9_3,9.7
M8_11_3,9.8
M8_12_3,9.6
M8_13_3,9.8
M8_15_3,9.8
M8_16_3,9.9
M8_17_3,9.8
M8_20_3,9.6
