"","sample","gene","anova_p","mean_between","mean_intra","fdr"
"1","D5","ENSG00000239951",0.8559,0.6538,0.7231,0.9948
"2","D5","ENSG00000211638",0.6123,3.258,3.19,0.9775
"3","D5","ENSG00000253333",0.6967,-3.9763,-4.7346,0.9798
"4","D5","ENSG00000230658",0.7741,-2.1273,-1.966,0.9911
"5","D5","ENSG00000237525",0.854,-5.8866,-5.7466,0.9948
"6","D5","ENSG00000183476",0.2767,-5.1016,-4.1303,0.92
"7","D5","ENSG00000141858",0.5299,4.7986,4.8466,0.9562
"8","D5","ENSG00000101230",0.0101,-4.2452,-6.6439,0.6938
"9","D5","ENSG00000157837",0.0334,3.2127,3.3262,0.8136
"10","D5","ENSG00000146066",0.51,5.6376,5.5773,0.9562
"11","D5","ENSG00000142512",0.0056,1.5262,1.2851,0.6538
"12","D5","ENSG00000183604",0.9795,2.9773,2.9794,0.9976
"13","D5","ENSG00000111266",0.0424,4.6408,4.5526,0.8606
"14","D5","ENSG00000226747",0.598,-5.0345,-5.6049,0.9775
"15","D5","ENSG00000178522",0.9976,-6.1449,-6.1471,0.9986
"16","D5","ENSG00000264456",0.8458,0.6035,0.5669,0.9948
"17","D5","ENSG00000165475",0.0248,1.1178,1.2979,0.7514
"18","D5","ENSG00000128512",0.321,-0.0478,-0.1713,0.9223
"19","D5","ENSG00000204619",0.2739,3.8002,3.7098,0.92
"20","D5","ENSG00000248019",0.7441,-1.4828,-1.6537,0.9855
"21","D5","ENSG00000232573",0.6704,2.5271,2.6375,0.9798
"22","D5","ENSG00000258388",0.2674,-0.5763,-0.3339,0.92
"23","D5","ENSG00000181616",0.5055,-0.7544,-0.9903,0.9562
"24","D5","ENSG00000167106",0.7114,4.8858,4.8029,0.9798
"25","D5","ENSG00000251568",0.7448,-2.2954,-2.6221,0.9855
"26","D5","ENSG00000135622",0.5627,-0.0039,0.0887,0.9691
"27","D5","ENSG00000140939",0.2138,1.4648,1.6679,0.92
"28","D5","ENSG00000109814",0.1109,3.1997,3.3323,0.92
