"","library","sample","protocol","platform","lab","batch","rep","sample_rep","sequence_date"
"1","P_BGI_L3_B1_D5_1","D5","P","BGI","L3","P_BGI_L3_B1",1,"D5_1",20200618
"2","P_BGI_L3_B1_D5_2","D5","P","BGI","L3","P_BGI_L3_B1",2,"D5_2",20200618
"3","P_BGI_L3_B1_D5_3","D5","P","BGI","L3","P_BGI_L3_B1",3,"D5_3",20200618
"4","P_BGI_L3_B1_D6_1","D6","P","BGI","L3","P_BGI_L3_B1",1,"D6_1",20200618
"5","P_BGI_L3_B1_D6_2","D6","P","BGI","L3","P_BGI_L3_B1",2,"D6_2",20200618
"6","P_BGI_L3_B1_D6_3","D6","P","BGI","L3","P_BGI_L3_B1",3,"D6_3",20200618
"7","P_BGI_L3_B1_F7_1","F7","P","BGI","L3","P_BGI_L3_B1",1,"F7_1",20200618
"8","P_BGI_L3_B1_F7_2","F7","P","BGI","L3","P_BGI_L3_B1",2,"F7_2",20200618
"9","P_BGI_L3_B1_F7_3","F7","P","BGI","L3","P_BGI_L3_B1",3,"F7_3",20200618
"10","P_BGI_L3_B1_M8_1","M8","P","BGI","L3","P_BGI_L3_B1",1,"M8_1",20200618
"11","P_BGI_L3_B1_M8_2","M8","P","BGI","L3","P_BGI_L3_B1",2,"M8_2",20200618
"12","P_BGI_L3_B1_M8_3","M8","P","BGI","L3","P_BGI_L3_B1",3,"M8_3",20200618
"25","R_BGI_L3_B1_D5_1","D5","R","BGI","L3","R_BGI_L3_B1",1,"D5_1",20200618
"26","R_BGI_L3_B1_D5_2","D5","R","BGI","L3","R_BGI_L3_B1",2,"D5_2",20200618
"27","R_BGI_L3_B1_D5_3","D5","R","BGI","L3","R_BGI_L3_B1",3,"D5_3",20200618
"28","R_BGI_L3_B1_D6_1","D6","R","BGI","L3","R_BGI_L3_B1",1,"D6_1",20200618
"29","R_BGI_L3_B1_D6_2","D6","R","BGI","L3","R_BGI_L3_B1",2,"D6_2",20200618
"30","R_BGI_L3_B1_D6_3","D6","R","BGI","L3","R_BGI_L3_B1",3,"D6_3",20200618
"31","R_BGI_L3_B1_F7_1","F7","R","BGI","L3","R_BGI_L3_B1",1,"F7_1",20200618
"32","R_BGI_L3_B1_F7_2","F7","R","BGI","L3","R_BGI_L3_B1",2,"F7_2",20200618
"33","R_BGI_L3_B1_F7_3","F7","R","BGI","L3","R_BGI_L3_B1",3,"F7_3",20200618
"34","R_BGI_L3_B1_M8_1","M8","R","BGI","L3","R_BGI_L3_B1",1,"M8_1",20200618
