"","Var1","Freq","gene","compare","gene_compare","FC","medianp"
"4","ENSG00000002919 D5/D6",10,"ENSG00000002919","D5/D6","ENSG00000002919 D5/D6",0.574094586856444,1.37046706063046e-05
"13","ENSG00000006756 D5/D6",9,"ENSG00000006756","D5/D6","ENSG00000006756 D5/D6",1.35322974529562,0.000328469210630364
"27","ENSG00000008394 D5/D6",10,"ENSG00000008394","D5/D6","ENSG00000008394 D5/D6",0.300959982685867,1.64188401530034e-05
"33","ENSG00000011114 D5/D6",9,"ENSG00000011114","D5/D6","ENSG00000011114 D5/D6",0.811256348890497,0.000931686738415636
"35","ENSG00000011132 D5/D6",8,"ENSG00000011132","D5/D6","ENSG00000011132 D5/D6",0.82999009505241,0.0115901338892643
"38","ENSG00000011295 D5/D6",5,"ENSG00000011295","D5/D6","ENSG00000011295 D5/D6",1.15379011092903,0.0536144443675785
"46","ENSG00000011485 D5/D6",5,"ENSG00000011485","D5/D6","ENSG00000011485 D5/D6",1.0889120382995,0.0502661638553658
"49","ENSG00000012124 D5/D6",10,"ENSG00000012124","D5/D6","ENSG00000012124 D5/D6",1.52063008921081,6.3115272735848e-07
"55","ENSG00000013573 D5/D6",4,"ENSG00000013573","D5/D6","ENSG00000013573 D5/D6",1.14039011097281,0.0645353737585314
"58","ENSG00000015153 D5/D6",5,"ENSG00000015153","D5/D6","ENSG00000015153 D5/D6",0.889903275926499,0.207097905881691
"67","ENSG00000023909 D5/D6",5,"ENSG00000023909","D5/D6","ENSG00000023909 D5/D6",0.837705931604351,0.0406610235722664
"68","ENSG00000030419 D5/D6",7,"ENSG00000030419","D5/D6","ENSG00000030419 D5/D6",0.866718012725002,0.0255480023614263
"71","ENSG00000031081 D5/D6",10,"ENSG00000031081","D5/D6","ENSG00000031081 D5/D6",0.539980993053824,1.08745098547323e-07
"80","ENSG00000047621 D5/D6",9,"ENSG00000047621","D5/D6","ENSG00000047621 D5/D6",0.812493067984215,0.00709104317178554
"83","ENSG00000051180 D5/D6",6,"ENSG00000051180","D5/D6","ENSG00000051180 D5/D6",1.34297581860626,0.0334810264481617
"85","ENSG00000052749 D5/D6",10,"ENSG00000052749","D5/D6","ENSG00000052749 D5/D6",1.41322469314699,0.000101172483370303
"92","ENSG00000054179 D5/D6",10,"ENSG00000054179","D5/D6","ENSG00000054179 D5/D6",4.44574882808912,1.55660144578027e-06
"97","ENSG00000055957 D5/D6",7,"ENSG00000055957","D5/D6","ENSG00000055957 D5/D6",0.384735073941727,0.00848825672423035
"103","ENSG00000057935 D5/D6",4,"ENSG00000057935","D5/D6","ENSG00000057935 D5/D6",0.872952891721736,0.151041232764884
"106","ENSG00000058056 D5/D6",10,"ENSG00000058056","D5/D6","ENSG00000058056 D5/D6",1.40007665750448,0.000116829563850817
"111","ENSG00000058600 D5/D6",10,"ENSG00000058600","D5/D6","ENSG00000058600 D5/D6",1.46045918622516,1.28875229647202e-05
"114","ENSG00000058866 D5/D6",10,"ENSG00000058866","D5/D6","ENSG00000058866 D5/D6",0.130910974670688,9.94629796313341e-08
"123","ENSG00000065154 D5/D6",10,"ENSG00000065154","D5/D6","ENSG00000065154 D5/D6",1.84913585878055,1.79332512517157e-05
"131","ENSG00000065923 D5/D6",8,"ENSG00000065923","D5/D6","ENSG00000065923 D5/D6",0.895177546907829,0.00441622671112204
"134","ENSG00000066044 D5/D6",8,"ENSG00000066044","D5/D6","ENSG00000066044 D5/D6",1.11332279708014,0.0110465141568318
"139","ENSG00000066933 D5/D6",10,"ENSG00000066933","D5/D6","ENSG00000066933 D5/D6",0.74820328388001,0.0001953229882687
"142","ENSG00000067057 D5/D6",10,"ENSG00000067057","D5/D6","ENSG00000067057 D5/D6",1.4036029858981,7.67996072982832e-06
"148","ENSG00000067334 D5/D6",5,"ENSG00000067334","D5/D6","ENSG00000067334 D5/D6",1.06876255113886,0.0500278778514094
"151","ENSG00000067596 D5/D6",9,"ENSG00000067596","D5/D6","ENSG00000067596 D5/D6",1.1600255485175,0.00165286382655482
"154","ENSG00000068024 D5/D6",8,"ENSG00000068024","D5/D6","ENSG00000068024 D5/D6",1.26885780572201,0.00227744051300425
"163","ENSG00000069424 D5/D6",8,"ENSG00000069424","D5/D6","ENSG00000069424 D5/D6",1.16256509857021,0.0014469113984336
"168","ENSG00000070214 D5/D6",10,"ENSG00000070214","D5/D6","ENSG00000070214 D5/D6",0.595310198101746,0.000419378762347578
"173","ENSG00000070404 D5/D6",6,"ENSG00000070404","D5/D6","ENSG00000070404 D5/D6",0.58044196862091,0.0327577806612407
"185","ENSG00000075399 D5/D6",5,"ENSG00000075399","D5/D6","ENSG00000075399 D5/D6",0.886425619875022,0.0934689457506531
"187","ENSG00000075407 D5/D6",9,"ENSG00000075407","D5/D6","ENSG00000075407 D5/D6",0.852553614685774,0.00413055173945043
"190","ENSG00000075415 D5/D6",7,"ENSG00000075415","D5/D6","ENSG00000075415 D5/D6",1.1103909349996,0.00229320507412181
"198","ENSG00000077380 D5/D6",5,"ENSG00000077380","D5/D6","ENSG00000077380 D5/D6",0.908664272134489,0.0866054517955426
"203","ENSG00000078369 D5/D6",5,"ENSG00000078369","D5/D6","ENSG00000078369 D5/D6",1.03122730589017,0.132388881618602
"208","ENSG00000078804 D5/D6",10,"ENSG00000078804","D5/D6","ENSG00000078804 D5/D6",1.4176421057196,4.32962160518171e-05
"210","ENSG00000079215 D5/D6",9,"ENSG00000079215","D5/D6","ENSG00000079215 D5/D6",2.28250609718809,0.00397995965114549
"213","ENSG00000079616 D5/D6",10,"ENSG00000079616","D5/D6","ENSG00000079616 D5/D6",1.47059599995448,4.3609758569037e-05
"216","ENSG00000079819 D5/D6",10,"ENSG00000079819","D5/D6","ENSG00000079819 D5/D6",0.748789562710955,0.00142675118622885
