"gene","compare","gene_compare","RSE.FC","meanlogFC","FC","medianp","description","external_gene_name","normality_log2FCp","normality","N_up","N_non","N_down","Final"
"ENSG00000001461","D5/D6","ENSG00000001461 D5/D6",1.16497315865777,0.0989099277178327,1.07096395723824,0.0702157334490865,"NIPA like domain containing 3","NIPAL3",0.132941017580656,"T",0,13,0,"non-DEG"
"ENSG00000002919","D5/D6","ENSG00000002919 D5/D6",1.69136117311611,-0.805121864721169,0.572313734808784,1.83927463757052e-05,"sorting nexin 11","SNX11",0.756030622482623,"T",0,13,0,"non-DEG"
"ENSG00000005075","D5/D6","ENSG00000005075 D5/D6",2.01570824207179,-0.148078948211993,0.902451341509576,0.0789868740452361,"RNA polymerase II subunit J","POLR2J",0.174109373818733,"T",0,13,0,"non-DEG"
"ENSG00000006756","D5/D6","ENSG00000006756 D5/D6",1.53950181007191,0.448303322249411,1.36443467296969,0.000344588653658852,"arylsulfatase D","ARSD",0.846252304929137,"T",0,13,0,"non-DEG"
"ENSG00000007376","D5/D6","ENSG00000007376 D5/D6",5.91906105702529,0.216745861331405,1.16210937752617,0.493275052118218,"RNA pseudouridine synthase domain containing 1","RPUSD1",0.187761676833438,"T",0,13,0,"non-DEG"
"ENSG00000008394","D5/D6","ENSG00000008394 D5/D6",3.52640906781847,-1.79375571356166,0.288420234306635,5.00743517110936e-06,"microsomal glutathione S-transferase 1","MGST1",0.758287511231094,"T",0,0,13,"down-regulate"
"ENSG00000009335","D5/D6","ENSG00000009335 D5/D6",1.45706368388068,0.0749284750223386,1.0533088144147,0.0295389316628467,"ubiquitin protein ligase E3C","UBE3C",0.0490718745373007,"F",0,13,0,"non-DEG"
"ENSG00000011114","D5/D6","ENSG00000011114 D5/D6",2.11784943063057,-0.297939073766279,0.813413548550016,0.00113199209395697,"BTB domain containing 7","BTBD7",0.115126749227996,"T",0,13,0,"non-DEG"
"ENSG00000011132","D5/D6","ENSG00000011132 D5/D6",1.54096728327008,-0.225545281552722,0.855271705774277,0.0107045763263689,"amyloid beta precursor protein binding family A member 3","APBA3",0.998940915174606,"T",0,13,0,"non-DEG"
"ENSG00000011295","D5/D6","ENSG00000011295 D5/D6",2.24893918417691,0.255730123948432,1.19393982323434,0.00680314683975717,"tetratricopeptide repeat domain 19","TTC19",0.326646425956318,"T",0,13,0,"non-DEG"
"ENSG00000011454","D5/D6","ENSG00000011454 D5/D6",1.00091819923934,0.0961554090103548,1.06892113060176,0.0656777886371551,"RAB GTPase activating protein 1","RABGAP1",0.145041462673416,"T",0,13,0,"non-DEG"
"ENSG00000011485","D5/D6","ENSG00000011485 D5/D6",1.49212559034966,0.0984510032460157,1.07062333542248,0.034409626174498,"protein phosphatase 5 catalytic subunit","PPP5C",0.0050758425105514,"F",0,13,0,"non-DEG"
"ENSG00000012124","D5/D6","ENSG00000012124 D5/D6",0.742341515493534,0.616499758971728,1.53315096172396,1.22713416656233e-07,"CD22 molecule","CD22",0.55472188179193,"T",0,13,0,"non-DEG"
"ENSG00000013573","D5/D6","ENSG00000013573 D5/D6",2.12030264034413,0.179106959681159,1.13218283767778,0.118841507432288,"DEAD/H-box helicase 11","DDX11",0.0638616134327476,"T",0,13,0,"non-DEG"
"ENSG00000015153","D5/D6","ENSG00000015153 D5/D6",1.43832993699419,-0.148198371138388,0.902376641786775,0.346111753451173,"YY1 associated factor 2","YAF2",0.404036644174854,"T",0,13,0,"non-DEG"
"ENSG00000015479","D5/D6","ENSG00000015479 D5/D6",1.03057062947193,0.0812723982091292,1.05795069860253,0.0632282775914812,"matrin 3","MATR3",0.847854600903485,"T",0,13,0,"non-DEG"
"ENSG00000023734","D5/D6","ENSG00000023734 D5/D6",1.56851478882593,0.13569695628616,1.098623423208,0.123790586967433,"serine/threonine kinase receptor associated protein","STRAP",0.598664830890591,"T",0,13,0,"non-DEG"
"ENSG00000023909","D5/D6","ENSG00000023909 D5/D6",1.63485816079682,-0.267454243377212,0.830784241746465,0.00734773009106376,"glutamate-cysteine ligase modifier subunit","GCLM",0.759297747912328,"T",0,13,0,"non-DEG"
"ENSG00000030419","D5/D6","ENSG00000030419 D5/D6",2.56847672741387,-0.155726394566557,0.89768027854382,0.0239736009085075,"IKAROS family zinc finger 2","IKZF2",0.234436318737469,"T",0,13,0,"non-DEG"
"ENSG00000031081","D5/D6","ENSG00000031081 D5/D6",1.36782110068907,-0.876433408541896,0.544712391256054,5.771797311345e-08,"Rho GTPase activating protein 31","ARHGAP31",0.125112045431383,"T",0,12,1,"non-DEG"
"ENSG00000034693","D5/D6","ENSG00000034693 D5/D6",1.29959681884271,0.0986456544268745,1.07076779572071,0.0922871817257218,"peroxisomal biogenesis factor 3","PEX3",0.744669921727121,"T",0,13,0,"non-DEG"
"ENSG00000047621","D5/D6","ENSG00000047621 D5/D6",0.888948133081693,-0.288855546572496,0.818551136955247,0.00139765530652025,"chromosome 12 open reading frame 4","C12orf4",0.690253547785027,"T",0,13,0,"non-DEG"
"ENSG00000051180","D5/D6","ENSG00000051180 D5/D6",3.36611509467515,0.46141342233335,1.37689011016857,0.0346814922581793,"RAD51 recombinase","RAD51",0.214117666409217,"T",0,13,0,"non-DEG"
"ENSG00000052749","D5/D6","ENSG00000052749 D5/D6",0.929796261063113,0.505890891071311,1.41999996194949,6.3085724149908e-05,"ribosomal RNA processing 12 homolog","RRP12",0.283352096374104,"T",0,13,0,"non-DEG"
"ENSG00000054179","D5/D6","ENSG00000054179 D5/D6",7.99820496577546,2.14890215603595,4.43490178798569,1.52808006795318e-06,"ectonucleoside triphosphate diphosphohydrolase 2","ENTPD2",0.00302372854032466,"F",13,0,0,"up-regulate"
"ENSG00000055957","D5/D6","ENSG00000055957 D5/D6",10.4315525824902,-1.48242195123569,0.35788749709319,0.0118861171450281,"inter-alpha-trypsin inhibitor heavy chain 1","ITIH1",0.644506209783112,"T",0,3,10,"down-regulate"
"ENSG00000057935","D5/D6","ENSG00000057935 D5/D6",1.95233428377013,-0.197758715099819,0.871904049763243,0.131323175377302,"metastasis associated 1 family member 3","MTA3",0.158899905408071,"T",0,13,0,"non-DEG"
"ENSG00000058056","D5/D6","ENSG00000058056 D5/D6",1.67574065515543,0.526465700223779,1.44039620164003,4.23781215099114e-05,"ubiquitin specific peptidase 13","USP13",0.986718498972399,"T",0,13,0,"non-DEG"
"ENSG00000058600","D5/D6","ENSG00000058600 D5/D6",1.15918707297355,0.578067820041363,1.49284855936915,8.16896405422353e-06,"RNA polymerase III subunit E","POLR3E",0.955314633259826,"T",0,13,0,"non-DEG"
"ENSG00000058866","D5/D6","ENSG00000058866 D5/D6",2.71149173141276,-2.9098416133741,0.133060880125903,1.05569516602573e-07,"diacylglycerol kinase gamma","DGKG",0.47961239764221,"T",0,0,13,"down-regulate"
"ENSG00000062485","D5/D6","ENSG00000062485 D5/D6",7.50343894872376,0.191211525364502,1.14172209210512,0.277912182278606,"citrate synthase","CS",0.320525729452686,"T",0,13,0,"non-DEG"
"ENSG00000065154","D5/D6","ENSG00000065154 D5/D6",1.87377682156232,0.937685573999191,1.91545293044269,6.8555933021421e-06,"ornithine aminotransferase","OAT",0.432772925259622,"T",3,10,0,"non-DEG"
"ENSG00000065357","D5/D6","ENSG00000065357 D5/D6",0.810671154763706,0.14008085988349,1.10196687696522,0.0505476708744123,"diacylglycerol kinase alpha","DGKA",0.752538444787969,"T",0,13,0,"non-DEG"
"ENSG00000065923","D5/D6","ENSG00000065923 D5/D6",0.756160902990336,-0.129345530543794,0.914246098115662,0.00370130788200018,"solute carrier family 9 member A7","SLC9A7",0.334063666102756,"T",0,13,0,"non-DEG"
