"","P_BGI_L3_B1_D5_1","P_BGI_L3_B1_D5_2","P_BGI_L3_B1_D5_3","P_BGI_L3_B1_D6_1","P_BGI_L3_B1_D6_2","P_BGI_L3_B1_D6_3","P_BGI_L3_B1_F7_1","P_BGI_L3_B1_F7_2","P_BGI_L3_B1_F7_3","P_BGI_L3_B1_M8_1","P_BGI_L3_B1_M8_2","P_BGI_L3_B1_M8_3","R_BGI_L3_B1_D5_1","R_BGI_L3_B1_D5_2","R_BGI_L3_B1_D5_3","R_BGI_L3_B1_D6_1","R_BGI_L3_B1_D6_2","R_BGI_L3_B1_D6_3","R_BGI_L3_B1_F7_1","R_BGI_L3_B1_F7_2","R_BGI_L3_B1_F7_3","R_BGI_L3_B1_M8_1","R_BGI_L3_B1_M8_2","R_BGI_L3_B1_M8_3","R_BGI_L6_B1_D5_1","R_BGI_L6_B1_D5_2","R_BGI_L6_B1_D5_3","R_BGI_L6_B1_D6_1","R_BGI_L6_B1_D6_2","R_BGI_L6_B1_D6_3","R_BGI_L6_B1_F7_1","R_BGI_L6_B1_F7_2","R_BGI_L6_B1_F7_3","R_BGI_L6_B1_M8_1","R_BGI_L6_B1_M8_2","R_BGI_L6_B1_M8_3","R_BGI_L7_B1_D5_1","R_BGI_L7_B1_D5_2","R_BGI_L7_B1_D5_3","R_BGI_L7_B1_D6_1","R_BGI_L7_B1_D6_2","R_BGI_L7_B1_D6_3","R_BGI_L7_B1_F7_1","R_BGI_L7_B1_F7_2","R_BGI_L7_B1_F7_3","R_BGI_L7_B1_M8_1","R_BGI_L7_B1_M8_2","R_BGI_L7_B1_M8_3","P_ILM_L1_B1_D5_1","P_ILM_L1_B1_D5_2","P_ILM_L1_B1_D5_3","P_ILM_L1_B1_D6_1","P_ILM_L1_B1_D6_2","P_ILM_L1_B1_D6_3","P_ILM_L1_B1_F7_1","P_ILM_L1_B1_F7_2","P_ILM_L1_B1_F7_3","P_ILM_L1_B1_M8_1","P_ILM_L1_B1_M8_2","P_ILM_L1_B1_M8_3","P_ILM_L6_B1_D5_1","P_ILM_L6_B1_D5_2","P_ILM_L6_B1_D5_3","P_ILM_L6_B1_D6_1","P_ILM_L6_B1_D6_2","P_ILM_L6_B1_D6_3","P_ILM_L6_B1_F7_1","P_ILM_L6_B1_F7_2","P_ILM_L6_B1_F7_3","P_ILM_L6_B1_M8_1","P_ILM_L6_B1_M8_2","P_ILM_L6_B1_M8_3","P_ILM_L8_B1_D5_1","P_ILM_L8_B1_D5_2","P_ILM_L8_B1_D5_3","P_ILM_L8_B1_D6_1","P_ILM_L8_B1_D6_2","P_ILM_L8_B1_D6_3","P_ILM_L8_B1_F7_1","P_ILM_L8_B1_F7_2","P_ILM_L8_B1_F7_3","P_ILM_L8_B1_M8_1","P_ILM_L8_B1_M8_2","P_ILM_L8_B1_M8_3","R_ILM_L2_B1_D5_1","R_ILM_L2_B2_D5_1","R_ILM_L2_B1_D5_2","R_ILM_L2_B2_D5_2","R_ILM_L2_B1_D5_3","R_ILM_L2_B2_D5_3","R_ILM_L2_B1_D6_1","R_ILM_L2_B2_D6_1","R_ILM_L2_B1_D6_2","R_ILM_L2_B2_D6_2","R_ILM_L2_B1_D6_3","R_ILM_L2_B2_D6_3","R_ILM_L2_B1_F7_1","R_ILM_L2_B2_F7_1","R_ILM_L2_B1_F7_2","R_ILM_L2_B2_F7_2","R_ILM_L2_B1_F7_3","R_ILM_L2_B2_F7_3","R_ILM_L2_B1_M8_1","R_ILM_L2_B2_M8_1","R_ILM_L2_B1_M8_2","R_ILM_L2_B2_M8_2","R_ILM_L2_B1_M8_3","R_ILM_L2_B2_M8_3","R_ILM_L8_B1_D5_1","R_ILM_L8_B1_D5_2","R_ILM_L8_B1_D5_3","R_ILM_L8_B1_D6_1","R_ILM_L8_B1_D6_2","R_ILM_L8_B1_D6_3","R_ILM_L8_B1_F7_1","R_ILM_L8_B1_F7_2","R_ILM_L8_B1_F7_3","R_ILM_L8_B1_M8_1","R_ILM_L8_B1_M8_2","R_ILM_L8_B1_M8_3"
"ENSG00000239951",-6.11866666666667,-5.67746666666667,-6.19566666666667,-0.0242666666666667,0.0386333333333333,-0.0143666666666666,-7.17166666666667,-7.23246666666667,-6.97336666666667,-7.42456666666667,-6.98496666666667,-7.56606666666667,-5.58773333333333,-5.80283333333333,-5.75763333333333,0.00576666666666625,0.086266666666666,-0.0920333333333341,-6.75183333333333,-6.96683333333333,-6.65133333333333,-7.04893333333333,-7.31103333333333,-7.37603333333333,-4.74303333333333,-5.49103333333333,-4.84933333333333,0.123066666666667,-0.106033333333333,-0.017033333333333,-6.55063333333333,-6.87023333333333,-6.84423333333333,-8.00593333333333,-7.39353333333333,-7.19833333333333,-3.8674,-5.2027,-4.5108,-0.0279000000000007,-0.069300000000001,0.0971999999999991,-6.4262,-7.1202,-7.1068,-7.9153,-7.5171,-7.0428,-5.5125,-5.9921,-5.7553,-0.0751000000000008,0.0592999999999995,0.0157999999999996,-6.6636,-6.6933,-7.0421,-6.7998,-7.6517,-7.3788,-5.79893333333333,-5.56313333333333,-5.79093333333333,-0.0166333333333331,0.0321666666666669,-0.0155333333333338,-6.90143333333333,-8.10633333333333,-6.72023333333333,-7.53403333333333,-7.13003333333333,-6.78463333333333,-6.00376666666667,-5.99196666666667,-6.13866666666667,0.0140333333333338,-0.0235666666666665,0.00953333333333362,-7.10786666666667,-6.66036666666667,-8.47876666666667,-7.98526666666667,-7.74246666666667,-6.94966666666667,-6.07563333333333,-5.38113333333333,-5.36323333333333,-5.31123333333333,-5.90763333333333,-6.07273333333333,-0.0587333333333335,0.0592666666666659,-0.0292333333333339,-0.0361333333333347,0.0879666666666665,-0.0231333333333339,-6.93903333333333,-6.53563333333333,-5.48853333333333,-6.58003333333333,-7.50173333333333,-6.59573333333333,-8.42993333333333,-7.03913333333333,-5.32003333333333,-8.04723333333333,-8.43703333333333,-6.82153333333333,-5.5563,-6.0357,-6.2618,0.0369000000000002,0.0291999999999994,-0.0661000000000005,-7.3482,-7.5226,-6.5246,-7.1595,-7.2532,-8.0836
"ENSG00000211638",1.17646666666667,1.21136666666667,1.14956666666667,-0.156733333333333,0.241066666666667,-0.0843333333333334,-4.12773333333333,-4.72903333333333,-5.62753333333333,4.32316666666667,4.36596666666667,4.30686666666667,0.711266666666667,0.744066666666667,1.01436666666667,0.140566666666667,-0.128933333333333,-0.0116333333333332,-5.97103333333333,-5.55063333333333,-6.21303333333333,4.00926666666667,4.15906666666667,3.71126666666667,1.66236666666667,2.08126666666667,1.67846666666667,-0.115133333333333,-0.0101333333333335,0.125266666666667,-4.17673333333333,-4.90233333333333,-4.80143333333333,4.34976666666667,4.39596666666667,4.28486666666667,1.5819,0.9056,0.337899999999999,0.2724,-0.0181000000000004,-0.2543,-4.2478,-6.6228,-8.7506,4.1327,4.1507,4.2619,1.13413333333333,1.14753333333333,1.31403333333333,0.0186333333333333,0.108833333333334,-0.127466666666667,-4.26386666666667,-2.47126666666667,-9.12416666666667,4.19303333333333,4.17053333333333,4.26693333333333,1.04583333333333,1.27043333333333,1.03283333333333,-0.0584666666666669,-0.0291666666666668,0.0876333333333332,-5.46876666666667,-9.26806666666667,-9.26806666666667,4.25893333333333,4.15913333333333,4.36973333333333,1.26823333333333,1.19353333333333,1.20303333333333,0.0710333333333337,-0.0353666666666665,-0.0356666666666663,-6.49146666666667,-6.34206666666667,-6.93306666666667,4.33603333333333,4.28943333333333,4.31023333333333,1.08603333333333,1.09536666666667,1.13413333333333,1.01786666666667,1.49173333333333,0.487466666666666,-0.182466666666667,-0.0487333333333333,-0.694166666666667,-0.103533333333333,0.876633333333333,0.152266666666667,-3.23936666666667,-2.81373333333333,-3.10626666666667,-4.78243333333333,-3.47946666666667,-8.48803333333333,4.92863333333333,4.13556666666667,4.61233333333333,3.97386666666667,4.75093333333333,4.10466666666667,0.793833333333333,0.891133333333333,0.813133333333333,0.0290333333333335,-0.0322666666666667,0.00323333333333342,-5.44706666666667,-4.04506666666667,-4.04646666666667,3.99533333333333,4.10293333333333,4.07163333333333
"ENSG00000253333",0.6921,-0.247999999999999,-0.216699999999999,-0.2338,0.2405,-0.00669999999999948,0.6608,0.8979,-2.5895,-2.5895,-2.5895,0.104,-0.289166666666667,-0.425366666666667,-0.751966666666667,0.0429333333333334,-0.0636666666666666,0.0207333333333334,-1.29196666666667,0.193933333333333,0.275933333333333,0.0331333333333333,-1.40226666666667,0.0848333333333333,3.02363333333333,2.76073333333333,2.64563333333333,-5.27916666666667,2.69213333333333,2.58703333333333,3.10403333333333,1.32483333333333,3.01543333333333,2.90253333333333,-5.27916666666667,3.29383333333333,-0.00139999999999996,0.1675,0.0832,0.1888,0.6373,-0.8261,0.6758,0.3156,0.3729,0.5223,0.0174000000000001,-0.8584,0.2538,-3.7488,0.470500000000001,0.159400000000001,-0.140299999999999,-0.0190999999999995,-1.4107,1.0506,0.654000000000001,0.513400000000001,0.680100000000001,-0.3632,-1.08713333333333,-3.02813333333333,-3.02813333333333,-0.863433333333333,0.669866666666667,0.193566666666667,0.865566666666667,0.0464666666666669,1.36846666666667,-0.00843333333333307,-0.466633333333333,0.525566666666667,1.7375,-2.8947,-2.8947,1.4391,1.4556,-2.8947,1.3918,2.1893,2.1059,1.5731,2.0539,-2.8947,-1.8303,0.347166666666667,-6.2723,-0.0977333333333332,-0.2709,-0.370433333333333,-0.1529,-0.281533333333333,0.3342,0.326966666666667,-0.1813,-0.0454333333333332,0.3625,0.321266666666667,0.0290999999999999,-0.0935333333333332,-0.3505,-0.00953333333333317,0.3296,0.0812666666666668,0.2533,-0.341833333333333,0.8133,0.0843666666666668,0.00726666666666667,-0.0581333333333333,0.145566666666667,-0.162833333333333,0.162166666666667,0.000666666666666663,0.693466666666667,0.530266666666667,0.639866666666667,0.362366666666667,0.306366666666667,0.364866666666667
"ENSG00000230658",0.397033333333333,0.214133333333333,0.326733333333333,-0.217666666666667,0.270033333333333,-0.0523666666666669,0.979933333333333,0.142033333333333,0.545233333333333,-0.928666666666667,-0.0530666666666666,-1.01246666666667,0.2579,0.3825,0.482,0.0700000000000001,0.00660000000000016,-0.0766,0.6441,0.4738,-0.0441,0.0707,0.4655,0.2084,-0.0043333333333333,0.162466666666667,-0.0660333333333334,0.0104666666666666,0.0732666666666666,-0.0837333333333334,0.286066666666667,0.365466666666667,0.377066666666667,0.0779666666666667,0.153166666666667,0.178466666666667,0.7805,0.7109,0.299600000000001,-0.2387,-0.1703,0.409,1.1463,0.9823,0.4318,0.8088,0.9088,0.432,0.658933333333333,0.0637333333333334,0.247333333333334,0.0157333333333334,0.297933333333333,-0.313666666666667,0.606233333333333,0.288933333333333,0.243533333333334,-0.476766666666667,-0.385366666666667,-0.406366666666667,0.3003,0.5039,-0.4278,-0.398,0.446,-0.0480000000000005,0.1955,0.7667,1.0766,-0.2496,-0.5698,-0.5314,-0.169466666666667,0.334333333333333,-0.177166666666667,-0.0442666666666667,0.0927333333333333,-0.0484666666666667,0.194633333333333,0.116533333333333,-0.0151666666666666,-1.25606666666667,-0.787266666666667,-0.233066666666667,-0.766233333333333,0.3022,-0.604733333333333,0.1141,-3.33333333331076e-05,0.348,0.119866666666667,0.2485,0.460566666666667,0.00490000000000013,-0.580433333333333,-0.2534,1.03056666666667,0.2604,0.535266666666667,0.3709,0.0742666666666667,0.4185,-0.136333333333333,-0.5909,-0.350733333333333,-0.0110999999999999,0.533866666666667,-0.2483,-0.248133333333333,0.365866666666667,0.552866666666667,0.340166666666667,-0.279433333333333,-0.0607333333333333,0.487766666666667,0.863866666666667,0.478766666666667,0.572966666666667,-0.185333333333333,0.462466666666667
"ENSG00000237525",-0.5582,-0.5582,-0.3706,-0.225,0.0427999999999997,0.1822,-0.5582,-0.5582,-0.2795,-0.5582,-0.3083,-0.5582,-0.934233333333334,-2.21243333333333,-1.77563333333333,0.579966666666667,-0.572733333333333,-0.00723333333333365,-0.712033333333334,-0.862233333333334,-1.16663333333333,-1.26953333333333,-2.62453333333333,-3.07633333333333,-2.4191,-1.3335,-0.9762,0.5342,0.2006,-0.7348,-1.0702,-1.5239,-0.2561,-2.0604,-2.5125,-0.3563,-0.596033333333333,-1.11923333333333,-0.552733333333333,-0.308433333333333,-0.0789333333333331,0.387366666666667,-2.43113333333333,-1.72343333333333,-2.31983333333333,-3.23383333333333,-0.410833333333333,-0.657533333333333,-0.682800000000001,-0.257100000000001,-0.682800000000001,0.0348999999999995,-0.682800000000001,0.647899999999999,1.4573,-0.682800000000001,-0.682800000000001,0.580699999999999,-0.682800000000001,-0.682800000000001,-0.547533333333333,-0.547533333333333,-0.547533333333333,-0.547533333333333,0.228866666666668,0.318666666666667,0.437766666666668,-0.547533333333333,0.285866666666667,-0.547533333333333,-0.547533333333333,-0.547533333333333,0.100899999999999,-0.359100000000001,-0.359100000000001,0.3658,-0.00670000000000037,-0.359100000000001,-0.359100000000001,-0.359100000000001,-0.359100000000001,-0.359100000000001,-0.359100000000001,0.310099999999999,-2.97696666666667,-1.5062,-2.97696666666667,-0.3165,-2.97696666666667,-1.1566,0.322433333333333,-0.0861999999999998,-0.494666666666667,0.2604,0.172233333333333,-0.1742,-2.97696666666667,-1.5346,0.386733333333333,-1.337,-2.97696666666667,-3.147,-2.97696666666667,-3.147,-2.97696666666667,-2.1059,-0.397366666666667,-1.9101,-2.05263333333333,-1.08203333333333,-0.230733333333333,-0.230433333333333,0.470866666666667,-0.240433333333333,-1.69223333333333,-2.05263333333333,-0.637733333333333,-1.41613333333333,-0.896033333333333,-0.652933333333333
"ENSG00000183476",0.0113333333333321,-0.315366666666668,0.100433333333332,0.483733333333332,0.526133333333332,-1.00986666666667,-1.00986666666667,1.44903333333333,-0.450566666666668,0.426033333333332,0.00143333333333207,-0.452566666666668,-0.0491999999999999,-0.1778,1.006,-1.1633,0.5005,0.6628,-1.1475,-0.4215,-0.1316,-0.0529999999999999,0.0860000000000003,0.5366,1.00783333333333,0.826833333333333,0.342033333333333,0.235633333333333,-0.338166666666667,0.102533333333334,-1.02036666666667,-0.829466666666667,0.930033333333333,0.600533333333333,-0.891966666666667,1.31193333333333,1.30746666666667,1.51886666666667,-1.02953333333333,-0.575433333333333,0.814966666666667,-0.239533333333333,1.05136666666667,-0.814833333333334,-0.335833333333333,1.20656666666667,-0.239333333333334,-2.56213333333333,-0.550433333333333,1.26596666666667,-0.865033333333334,0.204966666666667,-0.437433333333334,0.232466666666666,-0.211833333333334,-0.478233333333334,-0.865033333333334,0.478966666666667,0.592866666666667,0.153166666666666,-0.896033333333333,-0.896033333333333,2.05276666666667,0.353066666666667,0.542966666666667,-0.896033333333333,-0.896033333333333,-0.238133333333333,-0.896033333333333,-0.896033333333333,-0.0157333333333334,1.00256666666667,0.518500000000001,-0.321299999999999,-1.0151,0.725,-0.0573999999999995,-0.667599999999999,-1.0151,-0.00319999999999876,-1.0151,0.1648,1.4648,0.218600000000001,0.846233333333334,-0.329933333333333,2.09023333333333,0.304766666666667,-0.291666666666666,0.320666666666667,0.859033333333334,-0.297033333333333,-1.48886666666667,0.00566666666666649,0.629833333333333,0.291366666666667,-0.0578666666666665,-1.18723333333333,-0.406766666666667,-0.443333333333333,0.682733333333334,0.671266666666667,0.770133333333333,-0.119333333333334,0.136533333333333,-0.390633333333333,-0.252266666666666,-1.98673333333333,-1.17166666666667,-0.097666666666667,-0.686866666666667,-0.095766666666667,0.313133333333333,-0.217366666666667,-0.961966666666668,-0.249766666666667,-0.0258666666666674,0.00713333333333299,-0.173166666666667,-0.532466666666667
"ENSG00000141858",0.297866666666666,0.304366666666666,0.413566666666667,0.000166666666666426,-0.0383333333333336,0.0381666666666667,-0.102833333333333,0.049866666666667,-0.0503333333333331,-0.277433333333333,-0.258733333333333,-0.0337333333333332,0.302566666666666,0.353266666666666,0.311066666666666,0.00186666666666646,-0.0422333333333338,0.0403666666666664,-0.0404333333333335,-0.0818333333333339,0.068366666666666,-0.355233333333334,-0.491333333333334,-0.223933333333334,0.354033333333334,0.385933333333333,0.208133333333334,-0.0302666666666664,-0.0367666666666664,0.0670333333333333,-0.209866666666667,-0.00156666666666672,-0.177266666666667,-0.291266666666667,-0.185266666666667,-0.474866666666667,0.207433333333333,0.105233333333333,0.708933333333333,0.118533333333333,-0.109466666666667,-0.009066666666667,-0.192166666666667,-0.315366666666667,0.133933333333333,-0.157766666666667,-0.590566666666667,-0.424166666666667,0.249366666666667,0.315766666666667,0.315766666666667,0.00336666666666652,0.021066666666667,-0.0244333333333326,-0.119933333333333,-0.073433333333333,-0.0830333333333328,-0.415333333333333,-0.403933333333333,-0.336233333333333,0.5046,0.4852,0.5329,-0.0472999999999999,0.0914999999999999,-0.0442,-0.1275,-0.0786999999999995,-0.1108,-0.3608,-0.3763,-0.0145999999999997,0.242866666666667,0.242766666666667,0.230166666666667,0.0217666666666672,-0.0387333333333331,0.0169666666666668,0.0104666666666668,-0.131933333333333,-0.0806333333333331,-0.197633333333333,-0.361833333333333,-0.269233333333333,0.2293,0.434233333333333,0.2908,0.325233333333334,0.149,0.269433333333334,-0.3081,-0.0241666666666664,0.1684,-0.0462666666666665,0.1397,0.0704333333333338,-0.1664,-0.158666666666667,-0.6613,0.0108333333333337,-0.1091,-0.155866666666666,-0.482699999999999,-0.371566666666666,-1.1399,-0.396866666666666,-0.7235,-0.255066666666667,0.2129,0.1517,0.2071,0.0292000000000003,-0.0495999999999994,0.0204000000000004,0.0413000000000006,0.0141000000000004,0.000500000000000611,-0.246999999999999,-0.3367,-0.3413
"ENSG00000101230",0.478366666666666,-0.731933333333334,0.122966666666667,-0.420633333333334,0.652066666666666,-0.231433333333333,-1.97923333333333,-0.0136333333333338,-0.292533333333334,-1.11343333333333,-1.21803333333333,-0.207633333333334,-0.575566666666667,0.410833333333333,-0.187266666666667,-0.0345666666666666,0.306633333333333,-0.272066666666667,0.0721333333333334,-0.106466666666667,0.812133333333333,0.543033333333333,0.0123333333333333,0.583833333333333,-0.471366666666666,-0.513466666666667,-0.882266666666666,-0.243366666666666,0.284033333333333,-0.0406666666666666,0.615133333333334,-0.554266666666666,-0.0791666666666666,0.190433333333333,-0.424166666666666,-0.572266666666666,-0.2021,0.7722,-1.6509,-0.7459,0.2037,0.5422,-0.0361000000000002,0.8386,0.8328,0.345,-0.6152,0.6161,0.536633333333333,0.0592333333333332,-0.626466666666667,-0.626466666666667,0.853033333333333,-0.226566666666667,0.912733333333333,1.43063333333333,0.709933333333333,0.608533333333333,0.475633333333333,1.69443333333333,-0.869199999999999,-0.7757,0.2755,-1.4745,0.9231,0.5514,-0.1212,-0.4428,-0.0336999999999996,-1.2272,-0.8309,-2.1444,-0.961166666666666,-0.301666666666667,-0.850466666666667,-0.752366666666666,0.353933333333334,0.398433333333333,-0.973666666666666,-2.16826666666667,-0.856966666666667,0.00963333333333338,-0.668066666666666,-0.074466666666666,-0.224666666666667,0.0845000000000007,0.623333333333333,-0.7449,-0.752266666666667,-0.8485,0.643833333333333,-0.108899999999999,-0.351366666666667,0.3483,-0.292466666666667,-0.2394,0.237633333333333,-0.0874999999999995,-0.621466666666667,0.5577,-3.21926666666667,-0.1537,0.849833333333333,-0.403899999999999,0.463233333333333,-0.0799999999999992,0.925833333333333,0.216400000000001,-0.430366666666667,-1.28486666666667,-0.434866666666667,-0.203066666666667,0.0146333333333333,0.188433333333333,-0.854266666666667,-0.189066666666667,-0.639266666666666,-1.12396666666667,-0.557566666666667,-1.62696666666667
"ENSG00000157837",0.00746666666666629,-0.0660333333333338,-0.00233333333333352,-0.0584333333333338,0.0824666666666665,-0.0240333333333336,-0.256733333333333,-0.226333333333334,-0.255433333333334,-0.106033333333334,-0.171833333333334,-0.0139333333333336,-0.0246333333333335,-0.0666333333333338,0.0520666666666663,0.0707666666666662,-0.119833333333334,0.0490666666666666,-0.0791333333333335,-0.248733333333333,-0.197333333333334,-0.0940333333333334,-0.138633333333333,-0.0738333333333334,-0.00539999999999985,0.0139999999999998,0.0198999999999998,-0.0979000000000001,0.0400999999999998,0.0577999999999999,-0.2221,-0.1047,-0.1542,0.0158999999999998,0.0215000000000001,-0.0206,-0.249433333333333,0.0459666666666672,-0.187533333333333,0.027366666666667,-0.080133333333333,0.0527666666666669,-0.132033333333333,-0.159833333333333,-0.349333333333333,0.0730666666666671,-0.00083333333333302,-0.180733333333333,-0.0692333333333335,-0.00363333333333316,-0.0295333333333332,0.0162666666666667,-0.00403333333333311,-0.0122333333333331,-0.219533333333333,-0.366933333333333,-0.294833333333334,-0.176533333333333,-0.0749333333333335,-0.124933333333333,-0.0554666666666663,-0.0351666666666666,-0.0946666666666665,-0.0302666666666664,0.0403333333333338,-0.0100666666666664,-0.362966666666666,-0.307966666666666,-0.263166666666666,-0.0425666666666662,-0.169566666666666,-0.320066666666666,-0.0810666666666662,-0.115766666666667,-0.0229666666666666,0.0222333333333338,-0.0461666666666662,0.0239333333333338,-0.194666666666667,-0.221366666666666,-0.164366666666667,-0.114266666666667,-0.0116666666666663,-0.182466666666667,-0.113966666666667,-0.0605333333333333,-0.170266666666667,0.00706666666666678,0.0981333333333332,-0.0684333333333336,0.0748333333333333,0.0191666666666666,-0.197166666666667,0.0495666666666668,0.122333333333333,-0.0687333333333333,-0.204566666666667,-0.192733333333333,0.0308333333333333,-0.262933333333333,0.0129333333333332,-0.123833333333333,-0.0823666666666667,0.0110666666666668,0.0881333333333334,-0.184933333333333,-0.0128666666666666,-0.0773333333333333,-0.0347333333333331,-0.0561333333333329,-0.0110333333333332,-0.0272333333333332,0.0602666666666667,-0.033033333333333,0.024866666666667,-0.101733333333333,-0.132333333333333,0.0950666666666669,0.00166666666666693,-0.070033333333333
"ENSG00000146066",-0.0987333333333327,-0.0668333333333333,-0.0829333333333331,0.00206666666666688,-0.0238333333333332,0.0217666666666672,0.162766666666667,0.280566666666667,0.274166666666667,0.158566666666667,0.221466666666667,0.279766666666667,-0.0918666666666654,-0.0225666666666653,-0.231866666666666,0.0189333333333339,0.0125333333333346,-0.0314666666666659,0.207033333333334,0.168633333333334,0.249033333333334,0.130133333333334,0.0940333333333347,-0.155066666666666,0.3274,0.0356999999999994,-0.0416000000000007,0.0236999999999998,-0.0496000000000008,0.0258999999999991,0.0889999999999995,0.2974,0.119,-0.0533000000000001,0.252,0.0529999999999999,-0.0150333333333341,-0.122033333333334,0.368466666666666,0.0428666666666659,-0.163333333333334,0.120466666666666,0.110666666666666,0.0619666666666658,0.162566666666666,-0.0354333333333345,-0.175033333333334,0.143466666666666,-0.1522,-0.00659999999999883,-0.1579,-0.1236,0.0962000000000005,0.027400000000001,0.190700000000001,0.196600000000001,0.1835,0.0673000000000004,0.00730000000000075,0.073900000000001,0.019566666666667,0.0695666666666668,-0.562033333333334,-0.0604333333333331,0.107266666666667,-0.0468333333333337,0.0569666666666668,0.187466666666666,0.0468666666666664,0.0391666666666666,-0.0595333333333334,-0.236033333333333,-0.233066666666667,-0.162766666666667,-0.226966666666667,-0.0279666666666669,0.0124333333333331,0.015533333333333,0.369933333333333,0.242833333333333,0.216633333333333,0.210633333333333,0.101133333333333,0.230433333333333,0.185633333333334,0.0693999999999999,0.253533333333333,-0.0458000000000007,0.0902333333333329,-0.116300000000001,-0.0861666666666663,-0.0505000000000004,0.136833333333334,-0.0949,-0.0506666666666664,0.1454,0.261233333333333,0.0951999999999993,0.0582333333333338,0.3072,0.381033333333334,0.2214,0.255933333333333,-0.0163000000000002,-0.265266666666666,0.1679,-0.00716666666666654,0.2028,-0.0719666666666665,-0.0399666666666665,-0.0906666666666665,-0.0340666666666669,0.00933333333333319,0.0247333333333328,0.234233333333333,0.248133333333334,0.251733333333333,0.188933333333333,0.156233333333333,0.182733333333333
